aX,aY,aZ,gX,gY,gZ
-0.019,0.568,0.191,18.931,2.954,213.092
0.144,0.617,0.195,11.122,3.679,186.382
0.279,0.662,0.196,5.908,14.756,154.008
0.286,0.699,0.208,2.641,22.489,128.481
0.200,0.767,0.208,-0.580,21.802,104.718
0.169,0.860,0.234,-7.107,29.229,97.718
0.245,0.846,0.314,-8.840,30.702,88.458
0.268,0.845,0.392,-1.687,31.389,72.580
0.180,0.897,0.408,14.504,23.534,58.634
0.103,0.899,0.339,19.595,9.000,52.748
0.208,0.844,0.309,23.206,2.687,39.702
0.160,0.898,0.242,5.489,-9.702,41.756
0.213,0.890,0.271,3.206,-0.519,25.878
0.251,0.914,0.320,6.351,5.366,19.786
0.327,0.885,0.309,14.359,9.115,1.107
0.208,0.892,0.266,18.679,4.809,-24.305
0.007,0.944,0.188,14.191,-6.832,-33.496
-0.244,0.933,0.273,12.160,-48.198,-7.328
0.001,1.052,0.106,-1.473,-40.824,-7.298
-0.279,1.020,0.197,-10.496,-45.672,4.779
0.017,1.089,0.100,-16.153,-45.023,8.412
-0.167,1.007,0.189,-15.664,-21.336,8.534
-0.178,1.057,0.229,-11.809,-16.458,23.038
-0.121,1.058,0.219,-9.595,5.840,35.191
0.006,1.003,0.276,-10.672,10.824,48.092
0.143,0.951,0.293,-7.046,13.260,45.992
0.143,0.906,0.335,-0.145,9.237,36.817
0.187,0.915,0.286,4.679,7.427,27.824
0.087,0.909,0.256,6.397,8.145,23.511
0.138,0.906,0.260,8.702,11.588,24.565

0.620,0.844,0.365,-0.817,15.985,-17.160
0.874,0.779,0.446,14.763,21.000,-45.267
1.213,0.640,0.426,31.588,4.527,-103.244
1.459,0.508,0.313,36.893,-8.305,-184.992
1.316,0.326,0.186,32.939,-8.466,-250.137
0.844,0.169,0.095,21.466,-13.053,-250.137
0.424,0.037,0.069,2.336,-34.458,-250.137
0.111,-0.003,0.094,-18.573,-50.115,-250.137
-0.238,0.056,0.178,-38.458,-46.725,-250.137
-0.705,0.237,0.349,-41.954,-29.832,-250.137
-1.340,0.520,0.509,-28.405,-15.473,-250.137
-2.000,0.915,0.463,-15.496,-19.679,-250.137
-2.000,1.236,0.516,-1.618,-44.534,-190.962
-2.000,1.367,0.560,25.267,-59.153,-0.969
-1.996,1.083,0.559,49.954,-59.817,129.855
-1.365,0.792,0.469,66.130,-54.458,179.885
-0.813,0.675,0.354,77.611,-34.153,201.443
-0.562,0.619,0.266,82.756,-10.107,197.206
-0.487,0.641,0.175,83.412,7.924,192.420
-0.467,0.657,0.141,84.092,21.641,191.931
-0.362,0.660,0.051,77.305,30.237,191.244
-0.200,0.671,-0.015,58.107,32.718,178.656
-0.069,0.700,-0.073,29.489,29.786,157.565
-0.022,0.742,-0.051,-1.183,25.794,134.076
-0.026,0.835,0.113,-15.458,27.298,116.649
-0.070,0.885,0.199,-12.603,30.397,111.786
-0.020,0.873,0.230,-4.519,27.809,105.656
-0.001,0.883,0.182,-1.511,21.786,99.664
-0.014,0.905,0.173,-1.878,18.031,94.565
-0.013,0.913,0.161,-0.817,16.443,92.710
0.011,0.969,0.014,-0.053,16.947,91.389
0.049,0.955,0.007,-4.687,15.298,92.893
0.170,0.881,0.101,-7.626,18.809,78.924
0.166,0.895,0.097,-11.977,15.634,67.260
0.117,0.927,0.092,-15.855,14.183,67.412
0.169,0.922,0.165,-15.351,16.878,64.298
0.212,0.901,0.196,-13.603,14.145,54.557
0.223,0.930,0.193,-12.031,13.519,45.580
0.229,0.932,0.176,-10.855,16.099,37.885
0.233,0.930,0.217,-9.099,16.878,28.183
0.177,0.940,0.218,-6.992,14.420,21.130
0.169,0.958,0.214,-5.328,12.687,20.000
0.175,0.946,0.226,-3.359,10.634,16.863
0.155,0.954,0.215,-0.931,7.641,14.229
0.139,0.960,0.205,-1.305,7.328,14.000
0.144,0.950,0.220,-0.382,5.008,14.344
0.180,0.947,0.202,1.893,6.305,12.855
0.198,0.936,0.193,2.924,7.053,8.939
0.190,0.941,0.172,2.191,6.718,6.153
0.204,0.943,0.158,0.435,5.282,3.168

-0.917,0.435,0.556,-59.863,30.275,-250.137
-1.712,0.746,0.610,-45.969,35.916,-250.137
-2.000,1.119,0.671,-33.473,3.885,-220.595
-2.000,1.273,0.714,-7.260,-29.519,-43.656
-2.000,1.085,0.764,23.176,-39.412,88.160
-1.365,0.837,0.663,50.885,-25.863,144.305
-0.902,0.668,0.549,68.313,-9.634,174.863
-0.601,0.584,0.464,80.206,3.771,176.298
-0.533,0.600,0.371,85.366,9.481,169.924
-0.512,0.603,0.256,86.321,9.053,167.290
-0.452,0.604,0.140,80.198,5.550,165.305
-0.340,0.648,0.040,66.626,5.313,154.733
-0.279,0.705,0.001,45.832,13.282,136.969
-0.290,0.775,0.038,29.275,18.145,126.008
-0.294,0.810,0.103,18.603,22.504,122.351
-0.268,0.847,0.165,14.550,23.351,119.901
-0.259,0.850,0.201,14.809,17.443,119.740
