aX,aY,aZ,gX,gY,gZ
-0.114,0.772,-0.421,-250.137,18.305,-13.908
-0.083,0.766,-0.236,-250.137,23.595,-3.198
0.011,0.757,0.057,-250.137,11.916,2.412
0.079,0.786,0.385,-250.137,17.137,0.282
0.114,0.856,0.624,-250.137,16.840,-6.405
0.080,0.909,0.762,-198.015,14.847,-15.275
0.005,0.998,0.730,-135.893,4.786,-17.115
-0.031,1.028,0.594,-98.107,-2.656,-11.000
-0.030,1.028,0.487,-77.786,-5.137,-3.916
0.012,1.009,0.458,-63.008,-5.557,1.344
0.054,0.995,0.424,-51.359,-1.420,2.504
0.072,0.982,0.421,-39.053,3.786,0.496
0.056,0.975,0.433,-25.779,5.046,0.603
0.068,0.946,0.423,-12.863,5.206,0.053
0.071,0.950,0.326,-6.092,4.656,-3.382
0.066,0.951,0.276,-7.840,4.389,-5.397
0.043,0.941,0.254,-10.641,2.885,-6.473
0.016,0.952,0.272,-12.656,4.153,-5.038
0.022,0.950,0.290,-13.237,5.061,-3.725
0.020,0.942,0.310,-10.328,5.718,-2.916
0.021,0.941,0.310,-6.786,2.733,-1.855
0.034,0.935,0.289,-4.573,3.038,-1.092
0.032,0.925,0.292,-3.557,2.832,-2.573
0.048,0.937,0.290,-1.855,2.664,-3.855
0.023,0.932,0.291,-0.046,1.542,-4.588
0.010,0.935,0.269,0.275,1.489,-4.656
0.006,0.943,0.261,-1.687,3.534,-3.435
0.009,0.940,0.262,-3.550,4.145,-3.687
0.008,0.941,0.289,-3.702,3.534,-4.191

0.159,1.070,0.624,42.802,49.252,0.069
0.104,1.229,1.004,70.947,69.954,2.679
-0.023,1.182,1.420,146.153,90.931,12.443
-0.240,1.008,1.795,250.130,94.107,41.382
-0.405,0.591,1.831,250.130,77.534,84.389
-0.294,0.144,1.338,250.130,30.718,122.832
-0.106,-0.198,0.596,250.130,-28.710,120.153
0.058,-0.382,-0.404,250.130,-100.359,96.038
-0.017,0.003,-2.000,250.130,-250.137,68.611
0.074,0.108,-2.000,250.130,-221.908,74.916
0.279,0.144,-2.000,138.519,-64.534,29.191
0.147,0.167,-2.000,-35.160,11.939,-0.168
0.089,0.073,-1.478,-118.969,29.107,-19.565
-0.113,0.260,-0.948,-144.015,0.397,-14.412
