aX,aY,aZ,gX,gY,gZ
-0.157,0.924,0.149,72.466,24.725,7.527
-0.085,0.957,0.154,74.733,26.458,13.863
-0.028,0.930,0.163,81.802,31.137,12.229
0.004,0.955,0.149,88.634,38.786,10.656
0.024,0.945,0.122,95.069,37.336,4.069
-0.003,0.969,0.053,96.969,29.405,-1.748
-0.033,0.955,-0.003,95.458,26.061,-3.687
-0.041,0.950,-0.093,89.008,27.771,-2.847
-0.036,0.968,-0.160,75.115,25.588,-2.290
-0.045,0.944,-0.187,62.389,16.122,-5.000
-0.049,0.948,-0.218,47.779,13.160,-7.786
-0.056,0.959,-0.211,33.885,14.603,-9.489
-0.094,0.990,-0.166,22.748,10.191,-7.321
-0.074,0.974,-0.114,18.130,4.267,-9.328
-0.090,0.959,-0.083,20.595,7.099,-10.115
-0.122,0.960,-0.091,25.168,11.817,-10.115
-0.143,0.971,-0.132,24.084,9.397,-6.504
-0.130,0.971,-0.162,21.557,5.328,-0.702
-0.083,0.979,-0.157,16.733,5.137,1.901
-0.071,0.983,-0.141,14.000,3.153,1.397
-0.082,0.995,-0.133,11.076,1.985,-0.534
-0.104,1.001,-0.112,10.733,6.687,-1.244
-0.121,1.006,-0.053,14.183,10.374,0.679
-0.112,1.012,-0.032,21.221,8.656,4.466
-0.078,1.005,-0.042,28.840,7.885,6.015
-0.041,1.001,-0.110,34.786,9.634,1.206
-0.044,0.988,-0.162,34.519,9.847,-4.832
-0.079,0.994,-0.191,29.939,9.679,-6.863

0.096,0.420,1.346,-250.137,-188.634,40.427
0.356,0.556,1.615,-250.137,-140.389,54.115
0.458,0.572,2.000,-250.137,-100.992,34.015
0.498,0.591,2.000,-141.931,-74.359,1.443
0.350,0.627,2.000,-25.015,-34.962,-25.924
0.136,0.644,1.923,66.305,17.641,-26.527
0.102,0.648,1.599,119.458,56.817,-9.794
0.125,0.620,1.431,156.962,60.374,4.290
0.254,0.659,1.280,186.779,60.557,14.649
0.322,0.574,1.294,217.573,59.427,10.931
0.376,0.565,1.130,250.130,60.885,-6.809
0.274,0.505,0.839,250.130,71.389,-22.481
0.196,0.527,0.560,250.130,82.687,-28.176
0.087,0.565,0.297,250.130,77.046,-26.679
0.042,0.604,0.039,250.130,68.107,-20.550
0.052,0.640,-0.204,250.130,65.939,-17.061
0.077,0.702,-0.410,250.130,73.962,-14.985
0.084,0.810,-0.503,196.550,74.664,-15.626
0.067,0.857,-0.523,134.450,40.893,-20.061
0.053,0.866,-0.471,83.137,17.550,-28.107
-0.006,0.871,-0.385,47.336,-2.527,-31.656
-0.052,0.916,-0.300,21.000,-15.137,-28.122
-0.083,0.920,-0.191,6.122,-18.878,-26.237
-0.097,0.957,-0.096,2.084,-12.137,-21.496
-0.109,1.026,-0.021,0.092,-4.115,-16.962
-0.087,0.958,0.045,7.924,-6.817,-10.718
-0.025,0.972,0.018,19.687,-8.000,-10.061
-0.020,1.007,-0.022,23.450,-4.962,-11.679
-0.029,0.965,-0.022,26.092,-7.275,-12.832
-0.029,0.974,-0.039,26.992,-15.198,-13.710
-0.042,0.932,-0.109,24.656,-19.351,-16.023
-0.059,0.964,-0.162,15.519,-13.122,-17.237
-0.073,0.975,-0.153,1.496,-9.878,-14.931
-0.042,0.982,-0.090,-10.458,-17.786,-15.733
-0.027,0.998,-0.060,-16.641,-30.092,-18.588
0.006,0.989,-0.066,-24.008,-40.802,-24.954
-0.003,1.005,-0.058,-20.824,-34.504,-38.908
-0.094,1.015,-0.023,-22.000,-13.427,-51.504
-0.204,0.967,0.073,-8.145,-5.290,-57.405
-0.244,0.968,0.094,6.908,-8.176,-57.076
