Red,Green,Blue
0.200,0.371,0.429
0.200,0.371,0.429
0.200,0.371,0.429
0.206,0.353,0.441
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.206,0.353,0.441
0.206,0.353,0.441
0.200,0.371,0.429
0.200,0.371,0.429
0.200,0.371,0.429
0.216,0.351,0.432
0.211,0.368,0.421
0.211,0.368,0.421
0.211,0.368,0.421
0.211,0.368,0.421
0.222,0.361,0.417
0.222,0.361,0.417
0.211,0.368,0.421
0.211,0.368,0.421
0.211,0.368,0.421
0.214,0.357,0.429
0.214,0.357,0.429
0.214,0.357,0.429
0.195,0.366,0.439
0.205,0.359,0.436
0.205,0.359,0.436
0.205,0.359,0.436
0.205,0.359,0.436
0.205,0.359,0.436
0.205,0.359,0.436
0.211,0.368,0.421
0.216,0.351,0.432
0.194,0.361,0.444
0.200,0.371,0.429
0.200,0.371,0.429
0.200,0.371,0.429
0.200,0.371,0.429
0.200,0.371,0.429
0.206,0.353,0.441
0.206,0.353,0.441
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.194,0.355,0.452
0.200,0.367,0.433
0.200,0.367,0.433
0.200,0.367,0.433
0.200,0.367,0.433
0.214,0.357,0.429
0.200,0.360,0.440
0.208,0.375,0.417
0.217,0.348,0.435
0.217,0.348,0.435
0.217,0.348,0.435
0.217,0.348,0.435
0.217,0.348,0.435
0.208,0.375,0.417
0.217,0.348,0.435
0.217,0.348,0.435
0.217,0.348,0.435
0.217,0.348,0.435
0.217,0.348,0.435
0.227,0.364,0.409
0.227,0.364,0.409
0.227,0.364,0.409
0.227,0.364,0.409
0.227,0.364,0.409
0.200,0.371,0.429
0.194,0.361,0.444
0.211,0.368,0.421
0.220,0.366,0.415
0.200,0.360,0.440
0.208,0.375,0.417
0.174,0.391,0.435
0.190,0.381,0.429
0.190,0.381,0.429
0.190,0.381,0.429
0.190,0.381,0.429
0.190,0.381,0.429
0.190,0.381,0.429
0.200,0.400,0.400
0.200,0.400,0.400
0.211,0.368,0.421
0.176,0.412,0.412
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.187,0.375,0.437
0.187,0.375,0.437
0.176,0.412,0.412
0.187,0.375,0.437
0.187,0.375,0.437
0.187,0.375,0.437
0.187,0.375,0.437
0.187,0.375,0.437
0.187,0.375,0.437
0.187,0.375,0.437
0.187,0.375,0.437
0.200,0.400,0.400
0.200,0.400,0.400
0.187,0.375,0.437
0.176,0.412,0.412
0.176,0.412,0.412
0.176,0.412,0.412
0.222,0.389,0.389
0.222,0.389,0.389
0.222,0.389,0.389
0.222,0.389,0.389
0.222,0.389,0.389
0.222,0.389,0.389
0.222,0.389,0.389
0.222,0.389,0.389
0.222,0.389,0.389
0.222,0.389,0.389
0.176,0.412,0.412
0.222,0.389,0.389
0.222,0.389,0.389
0.222,0.389,0.389
0.222,0.389,0.389
0.176,0.412,0.412
0.176,0.412,0.412
0.176,0.412,0.412
0.222,0.389,0.389
0.222,0.389,0.389
0.222,0.389,0.389
0.176,0.412,0.412
0.176,0.412,0.412
0.222,0.389,0.389
0.222,0.389,0.389
0.176,0.412,0.412
0.222,0.389,0.389
0.222,0.389,0.389
0.211,0.368,0.421
0.211,0.368,0.421
0.211,0.368,0.421
0.211,0.368,0.421
0.222,0.389,0.389
0.176,0.412,0.412
0.176,0.412,0.412
0.187,0.375,0.437
0.187,0.375,0.437
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.154,0.385,0.462
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.200,0.400,0.400
0.143,0.429,0.429
0.200,0.400,0.400
0.200,0.400,0.400
0.154,0.385,0.462
0.167,0.417,0.417
0.167,0.417,0.417
0.167,0.417,0.417
0.154,0.385,0.462
0.200,0.400,0.400
0.200,0.400,0.400
0.187,0.375,0.437
0.200,0.400,0.400
0.200,0.400,0.400
0.143,0.429,0.429
0.143,0.429,0.429
0.143,0.429,0.429
0.143,0.429,0.429
0.200,0.400,0.400
0.187,0.375,0.437
0.187,0.375,0.437
0.187,0.375,0.437
0.187,0.375,0.437
0.187,0.375,0.437
0.200,0.400,0.400
0.200,0.400,0.400
0.187,0.375,0.437
0.176,0.412,0.412
0.176,0.412,0.412
0.176,0.412,0.412
0.187,0.375,0.437
0.187,0.375,0.437
0.176,0.412,0.412
0.176,0.412,0.412
0.211,0.368,0.421
0.190,0.381,0.429
0.208,0.375,0.417
0.200,0.400,0.400
0.222,0.370,0.407
0.222,0.370,0.407
0.207,0.379,0.414
0.207,0.379,0.414
0.200,0.367,0.433
0.219,0.375,0.406
0.212,0.364,0.424
0.212,0.364,0.424
0.212,0.364,0.424
0.200,0.371,0.429
0.222,0.361,0.417
0.222,0.361,0.417
0.222,0.361,0.417
0.222,0.361,0.417
0.222,0.361,0.417
0.222,0.361,0.417
0.222,0.361,0.417
0.222,0.361,0.417
0.222,0.361,0.417
0.222,0.361,0.417
0.222,0.361,0.417
0.222,0.361,0.417
