aX,aY,aZ,gX,gY,gZ
0.146,0.221,-0.538,-250.137,118.351,-28.672
0.178,0.179,-0.330,-250.137,132.672,-47.847
0.117,0.100,-0.030,-250.137,149.763,-64.076
0.049,0.043,0.318,-250.137,159.672,-72.916
-0.014,0.044,0.687,-250.137,181.206,-78.092
-0.138,0.036,1.076,-250.137,194.542,-79.595
-0.252,0.033,1.425,-250.137,192.725,-76.183
-0.339,-0.007,1.756,-250.137,182.069,-67.061
-0.443,-0.056,2.000,-250.137,172.641,-55.573
-0.539,-0.075,2.000,-219.412,160.931,-44.855
-0.633,-0.059,2.000,-163.504,136.267,-33.336
-0.704,-0.058,2.000,-109.740,97.740,-20.092
-0.726,-0.027,2.000,-57.298,47.305,-5.382
-0.685,-0.013,2.000,-1.664,-8.962,11.962
-0.565,0.026,2.000,44.099,-43.344,27.618
-0.435,0.060,1.999,85.809,-60.534,42.832
-0.301,0.104,1.766,125.389,-66.740,56.221
-0.200,0.132,1.560,157.496,-76.969,65.031
-0.123,0.151,1.384,179.473,-89.580,66.809
-0.050,0.186,1.222,196.351,-101.321,63.420
0.016,0.211,1.061,208.038,-108.550,56.023
0.063,0.246,0.901,216.267,-111.198,45.626
0.077,0.278,0.779,220.443,-111.947,35.786
0.094,0.333,0.684,221.076,-109.359,25.931
0.090,0.378,0.590,217.420,-102.794,16.649
0.096,0.443,0.512,211.198,-93.084,9.298
0.100,0.483,0.467,204.863,-85.557,4.733
0.097,0.544,0.405,197.710,-72.466,2.008
0.079,0.574,0.357,190.435,-58.015,0.466
0.083,0.607,0.332,181.618,-42.076,0.244
0.071,0.648,0.334,170.023,-27.252,0.198
0.050,0.689,0.353,157.695,-21.443,0.511
0.036,0.706,0.367,147.214,-25.382,0.267
0.039,0.734,0.363,139.427,-32.130,0.099
0.047,0.756,0.350,134.031,-34.481,0.550
0.072,0.775,0.335,131.916,-34.191,1.870
0.065,0.774,0.330,129.977,-29.985,3.092
0.069,0.790,0.313,127.939,-23.687,4.985
0.089,0.808,0.302,125.931,-18.206,7.031
0.080,0.828,0.286,124.275,-14.168,8.924
0.085,0.831,0.296,121.214,-10.260,10.664
0.094,0.832,0.296,117.198,-6.908,12.069
0.097,0.842,0.288,112.802,-2.748,12.260
0.089,0.849,0.279,109.870,-2.687,11.573
0.086,0.859,0.277,106.626,-4.176,10.832
0.088,0.868,0.273,103.756,-7.328,10.336
