aX,aY,aZ,gX,gY,gZ
-0.151,0.712,0.664,19.496,30.023,-0.626
-0.170,0.715,0.647,16.008,33.870,-2.290
-0.158,0.713,0.623,13.565,37.305,-1.298
-0.154,0.717,0.616,11.847,38.221,-0.618
-0.181,0.728,0.526,9.321,52.954,-2.962
-0.231,0.721,0.511,1.641,46.137,-3.275
-0.221,0.714,0.552,-3.168,41.153,1.328
-0.190,0.693,0.585,-2.092,32.840,5.656
-0.182,0.706,0.600,3.725,26.282,6.237
-0.127,0.730,0.613,7.878,26.847,4.244
-0.148,0.729,0.595,11.504,29.634,0.771
-0.156,0.728,0.598,13.977,30.282,-1.122
-0.147,0.738,0.595,15.855,31.023,-0.733
-0.101,0.743,0.652,5.740,54.328,-1.160
-0.158,0.738,0.608,8.519,52.656,2.695
-0.163,0.729,0.620,11.107,54.176,6.504
-0.149,0.705,0.553,8.053,59.122,11.893
-0.155,0.662,0.579,18.313,63.878,20.802
-0.210,0.683,0.563,25.992,52.527,31.863
-0.204,0.711,0.543,27.809,45.679,43.038
-0.193,0.723,0.530,26.084,39.389,52.771
-0.174,0.746,0.541,21.924,33.023,59.565
-0.171,0.794,0.519,18.290,22.725,63.679
-0.103,0.839,0.457,18.260,23.305,67.260
-0.073,0.874,0.495,18.634,26.313,68.908
-0.035,0.872,0.492,20.191,30.534,68.420
-0.090,0.880,0.521,22.405,30.344,64.534
-0.095,0.871,0.500,25.763,31.275,57.718
-0.136,0.845,0.496,28.229,31.412,47.603
-0.173,0.841,0.517,29.962,29.183,33.534
-0.173,0.843,0.519,30.832,32.695,16.809
-0.149,0.840,0.537,30.779,34.977,1.099
-0.127,0.829,0.531,30.534,36.450,-10.458
-0.129,0.829,0.520,29.977,38.046,-16.725
-0.141,0.829,0.525,28.847,37.695,-19.008
-0.130,0.812,0.509,26.702,35.656,-18.863
-0.157,0.826,0.501,24.046,32.687,-17.702
-0.173,0.823,0.490,20.588,26.076,-16.863
-0.217,0.812,0.563,16.321,16.687,-17.420
-0.185,0.800,0.476,12.389,8.366,-16.321
-0.201,0.798,0.494,8.290,1.099,-16.038
-0.205,0.802,0.497,3.481,-5.076,-14.672
-0.210,0.797,0.520,-0.611,-6.954,-11.908
-0.197,0.802,0.521,-3.878,-2.550,-9.038
-0.191,0.789,0.528,-4.916,2.191,-6.611
-0.192,0.781,0.535,-3.824,8.435,-4.527
-0.213,0.777,0.531,-0.695,12.977,-2.756
-0.221,0.772,0.527,3.122,15.412,-1.435
-0.225,0.772,0.527,7.336,17.557,-0.885
-0.228,0.781,0.522,11.450,18.473,-1.473
-0.215,0.783,0.514,14.382,21.634,-3.244
-0.217,0.800,0.506,16.733,25.855,-5.824
-0.219,0.797,0.488,17.832,28.061,-7.534
-0.239,0.791,0.469,18.603,28.779,-7.748
-0.248,0.787,0.479,19.282,29.008,-7.107
-0.254,0.774,0.463,19.756,29.649,-5.504
-0.246,0.771,0.457,19.305,34.702,-3.702
-0.233,0.771,0.465,17.260,41.527,-1.542
-0.249,0.770,0.447,15.145,48.137,0.634
-0.262,0.782,0.452,13.977,53.046,2.374
-0.307,0.771,0.439,13.198,53.328,3.008
-0.274,0.776,0.426,13.397,46.481,3.160
-0.295,0.795,0.408,13.595,38.573,3.122
-0.282,0.793,0.402,12.557,35.122,3.221
-0.265,0.797,0.399,10.626,34.221,2.511
-0.255,0.802,0.398,7.840,33.069,1.786
-0.267,0.821,0.374,4.916,28.069,2.534
-0.270,0.813,0.373,1.557,24.779,1.641
-0.242,0.818,0.354,-0.939,22.649,2.359
-0.253,0.817,0.361,-3.061,16.840,3.466
-0.251,0.811,0.361,-6.580,13.076,3.878
-0.270,0.805,0.381,-10.763,7.443,4.374
-0.267,0.818,0.369,-13.885,-0.038,6.313
-0.270,0.798,0.385,-16.443,-7.473,9.038
-0.256,0.803,0.361,-17.725,-13.458,11.382
-0.269,0.788,0.388,-18.794,-15.519,9.687
-0.234,0.803,0.382,-18.588,-15.328,6.664
-0.221,0.825,0.392,-17.473,-15.588,5.015
-0.202,0.845,0.399,-17.389,-15.351,4.061
-0.198,0.843,0.410,-18.985,-10.679,3.611
-0.206,0.850,0.432,-20.878,-6.740,4.794
-0.237,0.831,0.446,-22.130,-5.878,5.489
-0.241,0.816,0.515,-22.176,-3.229,7.634
-0.220,0.790,0.412,-22.038,1.015,10.313
-0.162,0.806,0.487,-30.412,14.412,17.908
-0.246,0.842,0.497,-36.809,14.740,23.885
