aX,aY,aZ,gX,gY,gZ
-0.243,0.667,1.460,159.160,43.366,7.305
-0.315,0.653,1.539,206.038,11.908,13.023
-0.330,0.658,1.569,250.130,-14.099,20.588
-0.394,0.665,1.550,250.130,-44.725,30.534
-0.428,0.618,1.467,250.130,-76.206,46.565
-0.407,0.609,1.281,250.130,-104.847,64.748
-0.434,0.523,1.075,250.130,-130.557,80.443
-0.377,0.518,0.829,250.130,-154.489,91.626
-0.343,0.478,0.561,250.130,-187.137,98.191
-0.290,0.445,0.242,250.130,-221.366,99.786
-0.188,0.485,-0.075,250.130,-250.137,97.916
-0.108,0.446,-0.389,250.130,-250.137,90.870
0.003,0.529,-0.731,250.130,-250.137,82.427
0.098,0.533,-1.101,250.130,-206.481,72.710
0.149,0.539,-1.314,250.130,-154.557,65.031
0.171,0.552,-1.451,250.130,-100.573,57.832
0.183,0.500,-1.530,250.130,-56.641,47.420
0.193,0.410,-1.550,200.221,-24.191,35.214
0.193,0.339,-1.528,144.229,0.229,20.176
0.178,0.306,-1.488,85.237,15.634,2.214
0.149,0.231,-1.467,34.885,17.870,-11.947
0.127,0.200,-1.438,-7.275,19.000,-22.885
0.118,0.213,-1.417,-40.145,22.565,-29.107
0.094,0.228,-1.382,-74.313,28.328,-32.939
0.079,0.260,-1.316,-101.183,33.405,-33.992
0.073,0.314,-1.268,-126.534,38.389,-33.176
0.063,0.386,-1.198,-147.137,46.267,-33.221
0.059,0.456,-1.115,-164.847,55.580,-35.031
0.061,0.529,-1.022,-181.145,62.244,-37.328
0.054,0.595,-0.916,-194.985,66.359,-39.160
0.064,0.681,-0.797,-210.687,73.412,-41.763
0.072,0.737,-0.698,-224.069,81.595,-44.344
0.075,0.810,-0.591,-236.443,93.771,-46.557
0.070,0.856,-0.473,-247.458,106.771,-48.168
0.047,0.908,-0.356,-250.137,119.725,-49.573
0.007,0.932,-0.245,-250.137,121.321,-52.351
-0.007,0.933,-0.143,-250.137,122.908,-53.771
-0.040,0.912,-0.054,-250.137,122.832,-53.588
-0.076,0.884,0.040,-250.137,111.649,-49.824
-0.100,0.855,0.135,-250.137,92.153,-43.115
-0.096,0.858,0.180,-250.137,71.275,-36.015
-0.094,0.825,0.218,-250.137,55.305,-27.924
-0.077,0.809,0.279,-250.137,47.183,-21.679
-0.072,0.787,0.335,-250.137,47.046,-17.931
-0.073,0.782,0.389,-250.137,50.969,-16.786
-0.069,0.786,0.435,-250.137,53.504,-16.038
-0.070,0.788,0.472,-242.809,49.710,-15.481
-0.069,0.787,0.523,-223.802,42.168,-14.244
-0.063,0.779,0.559,-202.779,33.695,-12.687
-0.063,0.772,0.577,-182.137,24.237,-12.130
-0.048,0.774,0.584,-164.466,16.863,-11.405
-0.019,0.766,0.595,-149.725,15.855,-11.641
-0.012,0.748,0.615,-140.771,24.550,-13.473
-0.013,0.750,0.664,-135.206,37.748,-16.382
-0.031,0.734,0.698,-130.366,47.870,-20.176
-0.055,0.740,0.746,-126.168,52.931,-22.962
-0.069,0.745,0.774,-119.565,54.511,-25.107
-0.095,0.740,0.808,-108.366,50.466,-25.282
-0.102,0.745,0.842,-96.099,43.405,-23.344
-0.116,0.726,0.841,-85.435,33.985,-20.176
-0.118,0.726,0.855,-72.206,22.939,-16.924
-0.109,0.711,0.855,-62.252,16.817,-14.229
