aX,aY,aZ,gX,gY,gZ
-0.993,1.144,0.640,61.496,-41.969,166.275
-0.937,1.044,0.534,62.847,-55.053,232.443
-0.838,1.105,0.473,66.160,-73.397,250.130
-0.779,0.966,0.405,71.221,-94.328,250.130
-0.633,0.824,0.355,78.916,-103.985,250.130
-0.376,0.710,0.217,89.160,-106.466,250.130
-0.083,0.513,0.091,102.809,-92.168,250.130
0.223,0.423,0.018,109.626,-74.771,250.130
0.502,0.295,-0.041,103.893,-68.458,250.130
0.834,0.249,-0.088,87.183,-67.176,250.130
1.139,0.188,-0.147,67.626,-68.771,250.130
1.353,0.167,-0.188,44.542,-57.931,250.130
1.560,0.065,-0.156,24.504,-39.053,250.130
1.730,0.018,-0.076,10.038,-25.969,213.115
1.868,-0.032,0.001,2.061,-8.504,152.969
1.855,-0.145,-0.025,3.244,1.817,82.924
1.795,-0.158,0.148,9.023,5.573,8.252
1.748,-0.172,0.138,15.061,7.282,-63.519
1.677,-0.088,0.198,16.099,6.824,-146.321
1.552,-0.049,0.182,16.481,30.748,-215.351
1.344,0.040,0.229,21.015,52.435,-250.137
1.128,0.172,0.239,28.038,64.962,-250.137
0.883,0.282,0.319,35.916,69.389,-250.137
0.651,0.403,0.361,43.687,61.550,-250.137
0.506,0.495,0.351,48.336,50.641,-250.137
0.346,0.615,0.354,51.382,40.504,-250.137
0.228,0.723,0.297,53.435,28.725,-250.137
0.146,0.811,0.242,55.359,17.260,-250.137
0.066,0.910,0.210,56.328,11.656,-234.351
-0.006,0.990,0.151,57.832,7.863,-205.664
-0.047,1.049,0.111,58.901,1.947,-174.473
-0.085,1.083,0.066,57.412,-10.611,-141.611
-0.093,1.104,0.042,52.008,-25.481,-114.061
-0.060,1.113,0.002,44.489,-36.168,-94.885
-0.036,1.150,-0.032,35.496,-45.214,-77.634
-0.030,1.115,-0.067,27.397,-50.183,-62.855
0.012,1.107,-0.108,20.855,-46.992,-49.099
0.054,1.095,-0.128,15.504,-40.053,-36.916
0.081,1.063,-0.108,9.412,-34.359,-25.443
0.118,1.046,-0.113,3.443,-30.786,-18.221
0.165,1.041,-0.107,-1.718,-26.786,-12.084
0.177,1.014,-0.090,-7.130,-22.008,-10.802
0.165,0.977,-0.047,-13.458,-15.878,-12.374
0.176,1.010,-0.029,-19.351,-16.359,-17.962
0.195,1.017,-0.017,-23.183,-12.695,-20.725
0.147,0.979,0.016,-25.183,-8.931,-23.122
0.160,1.007,0.042,-25.229,-9.511,-24.229
0.172,1.003,0.068,-23.427,-10.718,-21.481
0.160,0.978,0.086,-20.191,-9.611,-15.069
0.176,0.996,0.092,-17.183,-9.809,-8.443
0.199,1.012,0.082,-14.374,-7.519,-0.626
0.208,1.019,0.066,-11.611,-5.046,5.931
0.233,1.030,0.080,-10.061,1.221,11.145
0.217,0.979,0.090,-9.977,12.206,14.740
0.215,0.981,0.118,-10.634,15.542,15.534
0.213,0.977,0.137,-10.725,16.092,14.847
0.218,0.970,0.142,-9.168,16.786,14.427
0.205,0.960,0.140,-6.382,17.290,14.733
0.204,0.944,0.138,-3.840,16.847,15.405
0.212,0.948,0.142,-1.168,13.985,16.321
0.222,0.945,0.142,0.237,10.107,16.366
0.231,0.938,0.119,1.015,7.855,15.198
0.243,0.941,0.109,0.664,7.947,13.099
0.246,0.933,0.106,-0.427,8.313,11.397
0.229,0.927,0.101,-1.618,9.473,9.557
0.220,0.930,0.118,-2.542,10.931,7.672
0.205,0.934,0.121,-2.916,12.115,5.878
0.198,0.938,0.126,-2.450,12.084,5.573
0.206,0.924,0.120,-0.878,12.534,7.519
0.199,0.930,0.125,1.603,12.145,10.427
0.203,0.936,0.127,4.351,9.641,13.214
0.208,0.933,0.114,5.794,5.191,14.435
0.217,0.926,0.097,6.443,2.153,14.664
0.224,0.924,0.092,6.282,0.275,14.466
0.233,0.928,0.081,5.305,0.282,14.389
0.227,0.922,0.072,4.267,3.649,13.840
0.232,0.933,0.078,3.947,8.046,12.565
0.243,0.938,0.073,4.504,10.008,12.046
0.259,0.953,0.073,6.160,12.084,12.366
0.278,0.948,0.070,8.076,16.183,12.939
0.283,0.927,0.084,9.794,20.366,13.038
0.296,0.918,0.079,10.794,22.740,11.397
0.303,0.917,0.082,10.878,25.137,8.176
0.302,0.902,0.099,9.962,25.252,3.481
0.305,0.895,0.087,8.458,24.908,-2.916
0.299,0.882,0.091,7.336,24.061,-9.397
0.298,0.883,0.090,6.344,24.595,-15.084
0.295,0.886,0.095,5.282,27.359,-19.763
0.283,0.897,0.100,4.198,30.603,-24.603
0.268,0.913,0.096,3.588,33.519,-28.893
0.255,0.927,0.105,3.557,34.229,-32.336
0.238,0.937,0.100,3.855,35.702,-34.550
0.229,0.957,0.111,4.832,35.779,-35.718
0.227,0.975,0.110,6.229,34.565,-36.206
0.216,0.979,0.107,7.855,32.649,-36.267
0.212,0.970,0.101,10.298,30.916,-36.221
0.201,0.979,0.101,13.229,29.000,-35.061
0.191,0.974,0.101,15.954,27.519,-33.046
0.185,0.979,0.094,18.847,26.069,-30.458
0.188,0.985,0.072,21.099,24.679,-27.092
0.184,0.985,0.051,22.634,22.985,-23.267
0.199,0.986,0.047,23.221,21.794,-19.015
0.201,0.988,0.037,22.374,20.473,-14.130
0.212,0.986,0.021,20.794,18.420,-9.687
0.220,0.972,0.028,18.359,15.389,-6.191
0.238,0.968,0.028,14.557,10.870,-3.130
0.249,0.962,0.027,11.282,6.145,-1.794
0.263,0.954,0.021,8.366,1.664,-1.817
0.261,0.940,0.020,6.214,-2.374,-2.550
0.281,0.931,0.014,5.046,-5.992,-4.244
0.282,0.922,0.024,3.733,-7.595,-7.092
0.294,0.932,0.017,3.466,-7.733,-11.771
0.286,0.927,0.024,3.641,-6.718,-16.328
0.272,0.927,0.026,4.305,-5.779,-20.748

-0.449,1.347,0.004,50.641,52.420,-15.458
-0.670,1.470,0.002,58.725,66.008,19.672
-0.860,1.404,0.017,56.229,69.008,71.695
-0.990,1.449,0.057,43.611,53.595,144.000
-1.088,1.361,0.082,30.206,20.656,220.344
-1.063,1.224,0.076,21.374,-21.748,250.130
-0.948,1.016,0.060,14.557,-64.351,250.130
-0.691,0.784,-0.004,7.374,-102.313,250.130
-0.329,0.531,-0.121,1.076,-125.443,250.130
0.022,0.315,-0.187,-3.290,-132.794,250.130
0.365,0.155,-0.265,-6.405,-128.931,250.130
0.741,0.072,-0.358,-9.634,-102.450,250.130
0.989,0.052,-0.432,-12.802,-73.771,250.130
1.273,0.028,-0.395,-17.985,-39.374,250.130
1.516,0.050,-0.392,-19.191,-11.863,250.130
1.634,0.053,-0.352,-15.267,14.076,218.718
1.682,0.082,-0.291,-9.290,35.794,148.695
1.666,0.131,-0.221,-3.832,47.389,79.931
1.648,0.179,-0.157,-0.985,48.595,18.321
1.592,0.223,-0.120,-0.397,42.985,-31.382
1.506,0.260,-0.118,0.237,39.878,-73.901
1.399,0.325,-0.098,0.649,42.863,-106.351
1.262,0.373,-0.051,-2.153,40.519,-131.519
1.136,0.434,-0.019,-8.656,32.901,-150.099
1.025,0.484,0.017,-16.084,24.947,-163.412
0.903,0.528,0.045,-23.542,16.405,-173.374
0.806,0.569,0.065,-28.351,8.771,-178.443
0.732,0.602,0.068,-30.924,2.702,-180.611
0.662,0.654,0.076,-33.137,-3.924,-180.000
0.608,0.699,0.056,-33.771,-9.656,-177.359
0.546,0.710,0.073,-31.824,-15.099,-174.908
0.487,0.771,0.060,-27.687,-20.618,-167.305
0.437,0.767,0.019,-20.550,-21.779,-158.519
0.406,0.802,0.001,-13.412,-21.450,-151.183
0.370,0.844,-0.002,-7.183,-20.191,-143.969
0.326,0.874,-0.011,-3.527,-14.076,-138.130
0.270,0.914,-0.028,0.351,-9.962,-132.931
0.228,0.912,-0.047,5.153,-7.328,-125.908
0.203,0.947,-0.058,8.389,-7.000,-118.092
0.185,0.974,-0.086,10.840,-4.656,-108.756
0.168,0.990,-0.094,12.389,-0.458,-99.099
0.135,1.006,-0.098,11.924,2.206,-87.382
0.129,1.009,-0.120,9.160,1.870,-77.611
0.123,1.007,-0.120,5.481,1.649,-69.817
0.123,1.021,-0.116,0.786,4.107,-62.893
0.111,1.030,-0.110,-2.870,6.824,-56.924
0.114,1.014,-0.110,-5.565,9.817,-48.725
0.135,1.024,-0.091,-7.198,13.672,-40.061
0.139,1.005,-0.076,-8.275,16.901,-34.481
0.142,1.003,-0.065,-9.107,17.885,-31.947
0.147,1.000,-0.054,-10.626,17.618,-30.679
0.161,1.010,-0.043,-12.023,17.947,-29.374
0.175,1.004,-0.025,-12.504,20.023,-28.275
0.162,0.997,-0.023,-12.313,20.229,-26.725
0.173,0.993,-0.009,-11.687,19.351,-25.137
0.176,0.995,0.004,-11.427,18.580,-23.817
0.180,0.992,0.011,-10.878,17.756,-22.389
0.184,0.996,0.017,-10.458,16.229,-21.351
0.171,0.991,0.009,-9.412,13.336,-20.420
0.177,0.993,0.007,-8.679,11.679,-19.450
0.181,1.002,0.000,-8.076,12.527,-18.603
0.175,1.002,0.010,-7.038,13.702,-17.260
0.182,1.011,0.003,-5.832,15.786,-15.115
0.165,1.009,0.003,-4.847,17.527,-12.214
0.173,1.009,0.018,-4.962,18.489,-8.435
0.171,1.008,0.012,-5.649,17.221,-4.931
0.176,1.001,0.029,-5.908,14.626,-2.519
0.189,0.993,0.027,-5.618,13.244,-0.527
0.201,0.987,0.023,-4.924,11.382,0.366
0.204,0.982,0.030,-3.893,10.015,0.382
0.207,0.975,0.031,-3.053,9.183,-0.336
0.202,0.976,0.033,-2.038,7.573,-0.939
0.212,0.976,0.033,-1.702,5.870,-1.901
0.213,0.975,0.011,-1.588,5.916,-2.405
0.209,0.981,0.013,-1.687,5.573,-2.290
0.207,0.974,0.013,-1.565,5.405,-1.855
0.206,0.977,0.004,-1.450,6.206,-1.412
0.210,0.983,0.005,-1.756,7.832,-1.779
0.217,0.986,-0.003,-2.008,10.176,-2.504
0.206,0.981,0.010,-2.015,11.519,-2.824
0.202,0.986,0.004,-1.672,11.863,-2.275
0.183,0.988,0.014,-1.550,11.672,-1.565
0.190,0.982,0.009,-1.405,11.588,-0.687
0.190,0.977,0.012,-1.611,10.794,0.153
0.198,0.984,0.003,-2.260,9.443,0.626
0.202,0.983,0.005,-2.603,9.160,0.687
