aX,aY,aZ,gX,gY,gZ
0.047,0.339,0.304,9.570,-1.288,-0.134
0.059,0.361,0.231,9.585,-1.357,-0.074
0.078,0.389,0.154,9.565,-1.436,-0.018
0.096,0.417,0.071,9.513,-1.510,0.032
0.114,0.440,-0.017,9.435,-1.568,0.074
0.136,0.458,-0.105,9.335,-1.602,0.110
0.147,0.466,-0.197,9.215,-1.605,0.137
0.166,0.492,-0.286,9.074,-1.581,0.158
0.191,0.503,-0.372,8.912,-1.534,0.178
0.189,0.519,-0.458,8.729,-1.504,0.199
0.209,0.620,-0.761,7.601,-1.628,0.179
0.187,0.616,-0.828,7.279,-1.740,0.166
0.188,0.626,-0.888,6.938,-1.873,0.142
0.188,0.634,-0.946,6.580,-2.007,0.107
0.195,0.647,-1.011,6.214,-2.133,0.066
0.198,0.658,-1.073,5.844,-2.250,0.022
0.202,0.664,-1.134,5.474,-2.346,-0.022
0.210,0.674,-1.191,5.108,-2.406,-0.069
0.218,0.680,-1.242,4.745,-2.425,-0.113
0.222,0.690,-1.291,4.390,-2.408,-0.152
0.223,0.701,-1.337,4.042,-2.352,-0.188
0.226,0.717,-1.376,3.705,-2.257,-0.218
0.219,0.733,-1.412,3.377,-2.136,-0.237
0.203,0.731,-1.443,3.058,-1.977,-0.250
0.191,0.729,-1.468,2.749,-1.797,-0.255
0.183,0.732,-1.484,2.447,-1.601,-0.256
0.174,0.737,-1.493,2.148,-1.382,-0.254
0.167,0.745,-1.501,1.853,-1.153,-0.249
0.160,0.754,-1.501,1.561,-0.921,-0.241
0.149,0.761,-1.496,1.275,-0.694,-0.228
0.095,0.788,-1.403,-0.034,0.149,-0.135
0.086,0.792,-1.377,-0.303,0.282,-0.114
0.080,0.794,-1.347,-0.565,0.402,-0.092
0.079,0.796,-1.318,-0.817,0.513,-0.070
0.081,0.796,-1.286,-1.058,0.613,-0.045
0.086,0.794,-1.256,-1.286,0.707,-0.019

0.322,0.709,0.884,-1.913,1.038,0.510
0.315,0.695,0.891,-1.800,0.972,0.466
0.304,0.682,0.902,-1.691,0.901,0.421
0.308,0.692,0.911,-1.592,0.854,0.374
0.318,0.713,0.919,-1.492,0.802,0.332
0.320,0.724,0.927,-1.392,0.738,0.296
0.314,0.727,0.933,-1.290,0.652,0.264
0.302,0.721,0.939,-1.187,0.549,0.231
0.291,0.712,0.942,-1.083,0.436,0.196
0.282,0.703,0.946,-0.981,0.317,0.161
0.277,0.693,0.944,-0.878,0.200,0.129
0.275,0.685,0.941,-0.774,0.087,0.101
0.274,0.681,0.936,-0.668,-0.018,0.078
0.275,0.676,0.931,-0.562,-0.114,0.060
0.278,0.675,0.924,-0.457,-0.200,0.043
0.284,0.678,0.918,-0.351,-0.268,0.030
0.290,0.681,0.909,-0.248,-0.319,0.019
0.295,0.685,0.901,-0.147,-0.351,0.010
0.299,0.688,0.888,-0.049,-0.365,0.003
0.300,0.689,0.879,0.046,-0.365,-0.002
0.299,0.689,0.870,0.136,-0.351,-0.006
0.299,0.688,0.861,0.221,-0.325,-0.010
0.297,0.688,0.850,0.302,-0.292,-0.015
0.295,0.690,0.841,0.378,-0.254,-0.019
0.291,0.692,0.832,0.447,-0.214,-0.024
0.269,0.709,0.797,0.696,-0.085,-0.049
0.263,0.711,0.786,0.742,-0.078,-0.054
0.255,0.714,0.776,0.785,-0.077,-0.059
0.248,0.717,0.763,0.826,-0.082,-0.063
0.243,0.719,0.751,0.863,-0.090,-0.067
0.241,0.724,0.740,0.898,-0.097,-0.070
0.240,0.728,0.734,0.928,-0.100,-0.072
0.239,0.733,0.723,0.955,-0.100,-0.071
0.238,0.735,0.713,0.977,-0.100,-0.068
0.237,0.738,0.702,0.995,-0.099,-0.063
0.236,0.741,0.692,1.008,-0.101,-0.056
0.234,0.746,0.684,1.017,-0.105,-0.050
0.232,0.753,0.673,1.023,-0.117,-0.043
0.231,0.759,0.663,1.023,-0.133,-0.037
0.229,0.766,0.654,1.020,-0.152,-0.032
0.229,0.771,0.647,1.013,-0.177,-0.028
0.229,0.775,0.637,1.003,-0.204,-0.023
0.230,0.778,0.627,0.989,-0.233,-0.019
0.233,0.780,0.616,0.974,-0.262,-0.013
0.237,0.782,0.604,0.956,-0.292,-0.005
0.242,0.783,0.593,0.938,-0.318,0.002
0.246,0.784,0.582,0.919,-0.344,0.011
0.251,0.785,0.569,0.900,-0.367,0.019
0.256,0.783,0.559,0.882,-0.385,0.027
0.272,0.786,0.519,0.807,-0.415,0.048
0.277,0.788,0.511,0.790,-0.410,0.049
0.278,0.790,0.504,0.773,-0.400,0.048
0.282,0.794,0.498,0.757,-0.388,0.045
0.284,0.797,0.490,0.741,-0.372,0.040
0.285,0.799,0.485,0.725,-0.354,0.033
0.286,0.800,0.481,0.710,-0.335,0.028
0.287,0.800,0.477,0.695,-0.314,0.021
0.287,0.799,0.473,0.679,-0.294,0.016
0.288,0.799,0.468,0.663,-0.272,0.010
0.289,0.799,0.464,0.647,-0.251,0.005
0.288,0.798,0.459,0.630,-0.232,0.002
0.288,0.798,0.454,0.614,-0.214,0.000
0.288,0.799,0.450,0.598,-0.199,-0.002
0.289,0.803,0.446,0.582,-0.185,-0.004
0.290,0.805,0.445,0.566,-0.173,-0.006
0.292,0.810,0.442,0.552,-0.165,-0.007
0.294,0.812,0.440,0.540,-0.158,-0.010
0.295,0.815,0.436,0.527,-0.151,-0.012
0.297,0.815,0.435,0.516,-0.146,-0.014
0.298,0.815,0.434,0.507,-0.138,-0.017
0.298,0.816,0.435,0.499,-0.132,-0.020
0.299,0.818,0.432,0.491,-0.128,-0.023
0.298,0.819,0.431,0.483,-0.123,-0.028
0.295,0.820,0.429,0.476,-0.121,-0.033
0.292,0.821,0.425,0.468,-0.121,-0.038
0.288,0.836,0.419,0.429,-0.159,-0.068
0.287,0.838,0.417,0.417,-0.171,-0.074
0.287,0.838,0.417,0.404,-0.184,-0.080
0.286,0.838,0.418,0.390,-0.194,-0.084
0.285,0.839,0.416,0.375,-0.201,-0.088

0.283,1.020,0.676,0.082,1.605,-0.012
0.283,1.020,0.741,0.196,1.620,0.000
0.279,1.015,0.807,0.325,1.601,0.012
0.274,1.004,0.872,0.469,1.543,0.024
0.269,0.993,0.915,0.579,1.485,0.032
0.257,0.969,0.976,0.764,1.366,0.042
0.237,0.941,1.032,0.975,1.210,0.046
0.215,0.911,1.084,1.211,1.012,0.044
0.191,0.879,1.131,1.472,0.775,0.035
0.169,0.850,1.167,1.753,0.507,0.019
0.147,0.820,1.196,2.051,0.209,-0.001
0.128,0.797,1.214,2.364,-0.111,-0.028
0.113,0.778,1.216,2.687,-0.443,-0.057
0.102,0.763,1.204,3.019,-0.776,-0.089
0.094,0.752,1.181,3.354,-1.098,-0.122
0.092,0.744,1.143,3.690,-1.401,-0.155
0.093,0.735,1.095,4.021,-1.667,-0.185
0.093,0.725,1.038,4.344,-1.899,-0.211
0.093,0.716,0.968,4.653,-2.097,-0.231
0.093,0.711,0.895,4.945,-2.260,-0.245
0.093,0.708,0.815,5.217,-2.395,-0.253
0.093,0.707,0.732,5.466,-2.500,-0.255
0.094,0.709,0.646,5.687,-2.579,-0.251
0.094,0.712,0.561,5.881,-2.635,-0.244
0.095,0.714,0.471,6.046,-2.670,-0.234
0.099,0.714,0.380,6.184,-2.683,-0.221
0.101,0.713,0.287,6.297,-2.672,-0.209
0.099,0.705,-0.083,6.498,-2.492,-0.126
0.096,0.710,-0.166,6.474,-2.459,-0.107
0.095,0.722,-0.245,6.422,-2.440,-0.090
