aX,aY,aZ,gX,gY,gZ
-1.356,0.945,0.372,1.021,-0.477,0.970
-1.316,0.929,0.356,1.097,-0.504,1.146
-1.273,0.913,0.339,1.157,-0.542,1.313
-1.228,0.898,0.321,1.203,-0.584,1.472
-1.180,0.884,0.305,1.235,-0.631,1.617
-1.129,0.873,0.290,1.256,-0.678,1.750
-1.079,0.861,0.276,1.267,-0.720,1.870
-1.031,0.849,0.261,1.271,-0.758,1.975
-0.982,0.838,0.251,1.269,-0.788,2.067
-0.933,0.830,0.240,1.261,-0.808,2.144
-0.889,0.820,0.228,1.250,-0.819,2.207
-0.847,0.810,0.220,1.237,-0.821,2.255
-0.809,0.802,0.210,1.222,-0.814,2.289
-0.775,0.796,0.202,1.205,-0.801,2.309
-0.746,0.792,0.196,1.187,-0.784,2.317
-0.719,0.788,0.190,1.169,-0.764,2.315
-0.696,0.784,0.187,1.149,-0.744,2.305
-0.676,0.781,0.181,1.130,-0.723,2.290
-0.659,0.778,0.174,1.111,-0.702,2.272
-0.643,0.774,0.168,1.091,-0.682,2.252
-0.627,0.773,0.161,1.072,-0.661,2.234
-0.611,0.774,0.153,1.053,-0.636,2.218
-0.597,0.777,0.144,1.031,-0.609,2.204
-0.536,0.800,0.109,0.923,-0.451,2.184
-0.524,0.802,0.102,0.895,-0.412,2.188
-0.512,0.806,0.098,0.867,-0.374,2.198
-0.500,0.806,0.094,0.839,-0.337,2.210
-0.488,0.805,0.090,0.810,-0.303,2.226
-0.477,0.805,0.086,0.781,-0.272,2.246
-0.467,0.805,0.086,0.752,-0.248,2.266
-0.457,0.805,0.085,0.722,-0.230,2.289
-0.446,0.807,0.082,0.691,-0.221,2.314
-0.433,0.808,0.080,0.659,-0.220,2.341
-0.422,0.807,0.079,0.627,-0.226,2.370
-0.408,0.808,0.080,0.594,-0.237,2.403
-0.393,0.807,0.080,0.558,-0.253,2.435
-0.376,0.806,0.078,0.524,-0.274,2.468
-0.360,0.804,0.078,0.488,-0.300,2.499
-0.342,0.802,0.079,0.454,-0.330,2.526
-0.323,0.803,0.080,0.421,-0.364,2.550

1.081,0.646,0.198,0.447,1.046,-1.769
1.134,0.597,0.203,0.437,0.981,-2.036
1.176,0.549,0.209,0.421,0.881,-2.332
1.210,0.497,0.216,0.397,0.755,-2.659
1.235,0.437,0.223,0.368,0.618,-3.020
1.245,0.377,0.230,0.336,0.477,-3.409
1.243,0.315,0.240,0.302,0.336,-3.823
1.230,0.249,0.247,0.270,0.211,-4.256
1.210,0.182,0.258,0.245,0.102,-4.700
1.182,0.119,0.268,0.222,0.005,-5.143
1.146,0.066,0.273,0.209,-0.079,-5.580
1.103,0.020,0.272,0.202,-0.146,-6.006
1.055,-0.018,0.266,0.205,-0.188,-6.416
0.998,-0.048,0.259,0.220,-0.203,-6.807
0.933,-0.074,0.247,0.250,-0.188,-7.174
0.861,-0.096,0.234,0.294,-0.145,-7.516
0.780,-0.117,0.219,0.350,-0.080,-7.831
0.688,-0.133,0.208,0.416,-0.006,-8.116
0.585,-0.149,0.196,0.490,0.070,-8.369
0.469,-0.160,0.188,0.565,0.136,-8.594
0.337,-0.165,0.179,0.635,0.189,-8.793
0.186,-0.159,0.171,0.693,0.221,-8.971
0.018,-0.139,0.162,0.733,0.227,-9.134
-0.166,-0.102,0.151,0.750,0.198,-9.282
-1.023,0.168,0.048,0.492,-0.380,-9.647
-1.216,0.254,0.008,0.360,-0.571,-9.635
-1.403,0.343,-0.032,0.203,-0.743,-9.575
-1.583,0.435,-0.073,0.027,-0.884,-9.456
-1.754,0.534,-0.110,-0.171,-1.001,-9.269
-1.904,0.638,-0.142,-0.382,-1.107,-9.008
-2.064,0.731,-0.164,-0.596,-1.224,-8.669
-2.219,0.796,-0.174,-0.812,-1.324,-8.270
-2.400,0.872,-0.177,-1.093,-1.413,-7.645
-2.503,0.928,-0.169,-1.290,-1.454,-7.110
-2.591,0.985,-0.151,-1.469,-1.482,-6.527
-2.653,1.033,-0.117,-1.625,-1.505,-5.909
-2.708,1.072,-0.076,-1.750,-1.523,-5.273
-2.742,1.089,-0.031,-1.842,-1.540,-4.629
-2.749,1.103,0.021,-1.901,-1.538,-3.979
-2.722,1.099,0.083,-1.924,-1.489,-3.335
-2.591,1.017,0.334,-1.554,-1.300,-0.707
-2.513,0.995,0.371,-1.380,-1.224,-0.172
-2.428,0.964,0.406,-1.182,-1.112,0.324
-2.342,0.926,0.440,-0.967,-0.978,0.782
-2.254,0.884,0.472,-0.742,-0.843,1.204
-2.163,0.840,0.499,-0.513,-0.714,1.589
-2.072,0.797,0.520,-0.286,-0.600,1.937
-1.983,0.757,0.538,-0.067,-0.506,2.251
-1.893,0.720,0.548,0.143,-0.433,2.532
-1.803,0.687,0.553,0.338,-0.379,2.780
-1.715,0.659,0.551,0.521,-0.342,2.998
-1.629,0.634,0.549,0.687,-0.322,3.187
-1.549,0.611,0.544,0.839,-0.326,3.351
-1.473,0.591,0.536,0.975,-0.347,3.492
-1.400,0.574,0.523,1.097,-0.382,3.610
-1.330,0.558,0.507,1.209,-0.422,3.711
-1.260,0.542,0.489,1.308,-0.462,3.796
-1.196,0.529,0.468,1.396,-0.500,3.867
-1.135,0.517,0.446,1.473,-0.535,3.928
-1.074,0.509,0.421,1.539,-0.564,3.978
-1.014,0.508,0.395,1.593,-0.582,4.020
-0.787,0.537,0.290,1.711,-0.564,4.105
-0.742,0.545,0.269,1.713,-0.546,4.104
-0.700,0.553,0.250,1.708,-0.525,4.093
-0.663,0.559,0.229,1.694,-0.500,4.074
-0.631,0.564,0.208,1.674,-0.475,4.048
-0.598,0.568,0.190,1.648,-0.450,4.014
-0.566,0.569,0.173,1.619,-0.426,3.977
-0.536,0.572,0.158,1.583,-0.403,3.936
-0.506,0.575,0.142,1.544,-0.383,3.893
-0.477,0.579,0.127,1.501,-0.365,3.848
-0.448,0.584,0.112,1.455,-0.348,3.804
-0.419,0.592,0.097,1.406,-0.331,3.758
-0.389,0.599,0.082,1.354,-0.314,3.712
-0.361,0.608,0.066,1.300,-0.293,3.664
-0.335,0.616,0.053,1.244,-0.268,3.616
-0.308,0.624,0.042,1.187,-0.242,3.567
-0.283,0.631,0.032,1.128,-0.209,3.518
-0.261,0.638,0.026,1.068,-0.169,3.467
-0.243,0.644,0.018,1.008,-0.128,3.416

-1.558,0.456,-0.184,0.371,-1.089,-9.207
-1.718,0.565,-0.236,0.167,-1.134,-9.011
-1.881,0.668,-0.282,-0.054,-1.180,-8.739
-2.044,0.759,-0.316,-0.287,-1.225,-8.405
-2.192,0.843,-0.339,-0.529,-1.256,-8.011
-2.292,0.943,-0.350,-0.769,-1.281,-7.558
-2.402,1.035,-0.340,-0.993,-1.327,-7.055
-2.528,1.056,-0.314,-1.205,-1.339,-6.522
-2.631,1.066,-0.294,-1.402,-1.296,-5.949
-2.699,1.101,-0.271,-1.572,-1.222,-5.328
-2.742,1.156,-0.239,-1.719,-1.138,-4.669
-2.770,1.195,-0.193,-1.838,-1.060,-3.989
-2.786,1.212,-0.136,-1.927,-1.004,-3.304
-2.784,1.215,-0.071,-1.985,-0.958,-2.628
-2.763,1.204,-0.006,-2.009,-0.913,-1.971
-2.455,1.035,0.279,-1.668,-0.562,0.648
-2.364,0.993,0.325,-1.515,-0.463,1.100
-2.269,0.949,0.368,-1.343,-0.350,1.512
-2.170,0.906,0.405,-1.153,-0.226,1.889
-2.070,0.863,0.439,-0.948,-0.099,2.232
-1.967,0.821,0.470,-0.734,0.024,2.545
-1.868,0.782,0.496,-0.515,0.140,2.829
-1.773,0.745,0.518,-0.297,0.241,3.085
-1.683,0.709,0.534,-0.083,0.319,3.312
-1.599,0.674,0.543,0.122,0.372,3.513
-1.543,0.652,0.546,0.254,0.392,3.632
-1.463,0.621,0.547,0.441,0.399,3.791
-1.383,0.592,0.542,0.615,0.385,3.928
-1.305,0.568,0.533,0.775,0.359,4.047
-1.227,0.553,0.518,0.916,0.328,4.150
-1.155,0.546,0.503,1.040,0.293,4.238
-1.090,0.543,0.486,1.147,0.251,4.308
-1.031,0.543,0.469,1.236,0.201,4.363
-0.981,0.544,0.450,1.308,0.143,4.404
-0.933,0.541,0.429,1.364,0.076,4.429
-0.891,0.537,0.408,1.408,0.003,4.445
-0.852,0.532,0.386,1.440,-0.072,4.452
-0.814,0.529,0.362,1.462,-0.150,4.452
-0.777,0.528,0.339,1.476,-0.227,4.450
-0.634,0.551,0.233,1.448,-0.519,4.412
-0.604,0.557,0.208,1.424,-0.575,4.397
-0.575,0.562,0.185,1.394,-0.623,4.379
-0.544,0.568,0.160,1.359,-0.665,4.358
-0.515,0.573,0.136,1.321,-0.701,4.334
-0.485,0.578,0.112,1.277,-0.730,4.306
-0.454,0.587,0.088,1.232,-0.751,4.274
-0.422,0.596,0.062,1.184,-0.760,4.238
-0.390,0.605,0.038,1.134,-0.753,4.197
-0.359,0.613,0.013,1.082,-0.732,4.153
-0.327,0.622,-0.007,1.027,-0.697,4.103
-0.298,0.629,-0.026,0.970,-0.648,4.047
-0.269,0.638,-0.043,0.909,-0.589,3.988
-0.242,0.646,-0.059,0.846,-0.519,3.925
-0.216,0.654,-0.074,0.780,-0.444,3.861
-0.189,0.660,-0.087,0.713,-0.364,3.793
-0.166,0.664,-0.097,0.645,-0.282,3.725
-0.147,0.665,-0.103,0.576,-0.201,3.657
-0.128,0.667,-0.107,0.506,-0.123,3.586
-0.108,0.671,-0.113,0.436,-0.051,3.517
-0.090,0.673,-0.116,0.366,0.016,3.449
-0.020,0.693,-0.109,0.071,0.264,3.164
-0.006,0.698,-0.102,0.006,0.313,3.097
0.008,0.702,-0.094,-0.056,0.355,3.030
0.020,0.707,-0.084,-0.116,0.390,2.963
0.030,0.713,-0.076,-0.172,0.414,2.895
0.040,0.719,-0.068,-0.227,0.429,2.827
0.049,0.722,-0.055,-0.276,0.437,2.761
0.055,0.728,-0.044,-0.321,0.441,2.694
0.061,0.734,-0.033,-0.364,0.437,2.628
0.066,0.742,-0.020,-0.401,0.428,2.563
0.067,0.749,-0.008,-0.434,0.413,2.497
0.068,0.755,0.002,-0.463,0.390,2.431
0.069,0.764,0.014,-0.490,0.358,2.366
0.070,0.773,0.026,-0.512,0.318,2.301
0.072,0.782,0.036,-0.531,0.274,2.238
0.074,0.790,0.044,-0.548,0.225,2.176
0.076,0.797,0.053,-0.562,0.176,2.116
0.078,0.803,0.059,-0.574,0.130,2.057
0.084,0.811,0.062,-0.584,0.090,2.000
0.087,0.820,0.065,-0.591,0.057,1.941

-1.308,0.663,-0.194,0.180,-1.120,-7.519
-1.427,0.734,-0.225,0.037,-1.091,-7.321
-1.542,0.803,-0.251,-0.113,-1.050,-7.082
-1.651,0.869,-0.273,-0.266,-1.004,-6.801
-1.754,0.929,-0.290,-0.421,-0.951,-6.482
-1.850,0.981,-0.297,-0.573,-0.892,-6.125
-1.933,1.027,-0.295,-0.719,-0.831,-5.733
-2.009,1.066,-0.285,-0.859,-0.773,-5.310
-2.073,1.099,-0.266,-0.990,-0.719,-4.859
-2.126,1.125,-0.243,-1.108,-0.678,-4.387
-2.167,1.145,-0.213,-1.214,-0.649,-3.897
-2.191,1.157,-0.176,-1.307,-0.633,-3.397
-2.202,1.163,-0.135,-1.380,-0.624,-2.895
-2.196,1.163,-0.092,-1.436,-0.615,-2.397
-2.176,1.155,-0.048,-1.468,-0.604,-1.910
-1.960,1.049,0.160,-1.333,-0.410,-0.061
-1.896,1.016,0.205,-1.241,-0.328,0.284
-1.834,0.982,0.249,-1.129,-0.238,0.596
-1.773,0.947,0.286,-0.999,-0.146,0.877
-1.712,0.913,0.318,-0.856,-0.057,1.129
-1.654,0.881,0.349,-0.700,0.027,1.356
-1.597,0.853,0.377,-0.537,0.101,1.561
-1.541,0.828,0.397,-0.370,0.162,1.747
-1.489,0.806,0.411,-0.202,0.210,1.916
-1.441,0.786,0.419,-0.036,0.244,2.068
-1.395,0.765,0.421,0.127,0.263,2.206
-1.348,0.745,0.419,0.284,0.272,2.333
-1.300,0.727,0.412,0.435,0.276,2.450
-1.252,0.712,0.400,0.579,0.274,2.562
-1.205,0.696,0.387,0.713,0.269,2.669
-1.157,0.682,0.372,0.835,0.264,2.773
-1.110,0.668,0.358,0.946,0.252,2.874
-1.063,0.658,0.345,1.042,0.233,2.973
-1.014,0.649,0.331,1.124,0.209,3.069
-0.968,0.644,0.316,1.190,0.176,3.159
-0.921,0.643,0.299,1.242,0.137,3.238
-0.875,0.641,0.282,1.280,0.095,3.309
-0.832,0.638,0.264,1.307,0.048,3.368
-0.789,0.636,0.248,1.323,-0.003,3.414
-0.640,0.642,0.178,1.280,-0.258,3.462
-0.612,0.648,0.160,1.250,-0.315,3.440
-0.584,0.655,0.142,1.214,-0.369,3.408
-0.560,0.663,0.121,1.175,-0.416,3.367
-0.536,0.671,0.099,1.132,-0.454,3.318
-0.512,0.681,0.078,1.086,-0.482,3.267
-0.489,0.692,0.057,1.037,-0.498,3.212
-0.469,0.703,0.036,0.987,-0.502,3.156
-0.448,0.714,0.015,0.932,-0.493,3.102
-0.429,0.723,-0.004,0.878,-0.469,3.051
-0.412,0.732,-0.022,0.822,-0.435,3.003
-0.396,0.742,-0.037,0.764,-0.390,2.959
-0.381,0.751,-0.053,0.707,-0.333,2.917
-0.368,0.760,-0.067,0.649,-0.267,2.880
-0.355,0.768,-0.080,0.591,-0.197,2.846
-0.345,0.776,-0.090,0.533,-0.122,2.815
-0.336,0.781,-0.098,0.476,-0.046,2.788
-0.326,0.786,-0.101,0.417,0.035,2.766
-0.313,0.793,-0.102,0.357,0.120,2.748
-0.301,0.799,-0.104,0.295,0.209,2.733
-0.288,0.807,-0.104,0.232,0.297,2.720
-0.271,0.814,-0.104,0.167,0.384,2.708
-0.212,0.809,-0.076,-0.113,0.679,2.670
-0.201,0.804,-0.064,-0.173,0.717,2.662
-0.192,0.801,-0.051,-0.231,0.744,2.652
-0.183,0.798,-0.039,-0.286,0.757,2.641
-0.176,0.794,-0.027,-0.338,0.756,2.630
-0.169,0.791,-0.012,-0.386,0.741,2.619
-0.161,0.788,0.002,-0.430,0.712,2.607
-0.153,0.785,0.015,-0.473,0.669,2.596
-0.145,0.785,0.027,-0.513,0.617,2.584
-0.136,0.788,0.043,-0.553,0.558,2.571
-0.126,0.794,0.052,-0.591,0.488,2.556
-0.114,0.801,0.061,-0.628,0.414,2.541
-0.103,0.808,0.072,-0.662,0.335,2.523
-0.093,0.813,0.081,-0.695,0.251,2.504
-0.084,0.818,0.088,-0.727,0.167,2.482
-0.076,0.822,0.096,-0.756,0.084,2.456
-0.068,0.827,0.103,-0.782,0.000,2.429
-0.061,0.834,0.107,-0.806,-0.084,2.399
-0.053,0.842,0.112,-0.826,-0.169,2.366

-1.571,0.500,0.012,0.458,-1.738,-8.543
-1.714,0.565,-0.032,0.342,-1.805,-8.366
-1.854,0.632,-0.073,0.213,-1.846,-8.127
-1.989,0.700,-0.112,0.072,-1.862,-7.830
-2.117,0.772,-0.147,-0.078,-1.855,-7.473
-2.235,0.851,-0.175,-0.235,-1.824,-7.060
-2.344,0.928,-0.196,-0.397,-1.774,-6.594
