aX,aY,aZ,gX,gY,gZ
-0.118,1.295,0.187,-51.147,97.656,-447.083
-0.208,0.657,0.210,-66.650,79.346,-508.972
-0.262,0.265,0.205,-59.387,69.031,-526.855
-0.274,0.025,0.107,-48.340,72.083,-524.902
-0.299,-0.138,-0.029,-62.500,76.172,-519.592
-0.295,-0.333,-0.161,-85.449,70.190,-520.752
-0.279,-0.497,-0.196,-101.074,53.223,-531.921
-0.239,-0.737,-0.154,-103.394,28.564,-553.345
-0.142,-1.060,-0.061,-102.051,4.883,-561.279
-0.050,-1.413,0.049,-107.117,-8.240,-542.358
0.126,-1.639,0.124,-112.000,-10.010,-507.812
0.274,-1.998,0.096,-87.402,-4.028,-501.221
0.274,-2.496,0.024,-71.716,6.958,-498.047
0.247,-2.961,-0.017,-90.454,15.564,-466.125
0.264,-3.311,0.005,-114.624,11.475,-397.522
0.264,-3.493,0.108,-109.558,-5.066,-292.175
0.226,-3.466,0.281,-80.627,-21.912,-146.973
0.259,-2.906,0.462,-30.945,-25.574,26.428
0.282,-2.132,0.511,30.762,-12.146,154.419
0.335,-1.544,0.486,39.001,13.184,202.820
0.376,-1.244,0.410,20.691,36.438,207.581
0.405,-1.128,0.332,11.414,47.058,200.195
0.422,-1.047,0.280,7.324,49.072,196.594
0.441,-0.942,0.245,10.071,48.157,199.158
0.468,-0.819,0.211,17.883,46.997,202.942
0.492,-0.700,0.188,24.780,44.556,205.322
0.522,-0.602,0.168,29.358,41.687,203.674
0.540,-0.517,0.144,31.189,39.429,199.524
0.568,-0.443,0.115,29.297,37.537,195.251
0.601,-0.371,0.089,23.926,36.072,190.613
0.628,-0.318,0.060,17.517,34.790,183.472
0.666,-0.284,0.024,11.230,34.302,174.011
0.704,-0.265,-0.005,5.249,33.447,164.307
0.736,-0.259,-0.024,1.770,31.067,153.992
0.770,-0.276,-0.035,-0.061,27.161,143.494
0.787,-0.303,-0.035,-1.953,23.132,132.996
0.808,-0.326,-0.033,-3.784,20.203,124.878
0.824,-0.344,-0.025,-1.892,17.029,118.103
0.836,-0.354,-0.013,2.686,14.160,112.671
0.850,-0.362,-0.011,5.432,14.160,109.863
0.845,-0.368,-0.013,4.883,16.235,106.995
0.851,-0.362,-0.033,5.371,19.470,106.262
0.857,-0.351,-0.066,7.507,20.569,107.361
0.859,-0.317,-0.079,4.456,17.517,109.070
0.869,-0.286,-0.076,-0.061,11.963,109.741
0.876,-0.262,-0.068,-1.709,6.836,108.826
0.848,-0.228,-0.055,-0.977,2.563,106.628
0.917,-0.178,-0.046,0.854,0.916,106.201
0.890,-0.230,-0.077,7.690,-1.282,100.769
0.918,-0.198,-0.038,-5.798,-2.075,95.764
0.911,-0.149,-0.000,-14.160,-2.075,95.764
0.921,-0.161,-0.017,-0.183,0.244,91.431
0.930,-0.161,-0.035,3.845,3.113,86.609
0.939,-0.160,-0.043,-3.845,3.235,82.642
0.940,-0.162,-0.033,-10.437,0.488,78.857
0.937,-0.148,-0.031,-10.559,-1.648,78.186
0.950,-0.122,-0.038,-7.996,-2.075,78.552
0.954,-0.100,-0.045,-4.761,-2.747,78.064
0.951,-0.090,-0.048,-2.930,-4.883,75.684
0.962,-0.071,-0.043,-1.587,-7.385,73.547
0.971,-0.047,-0.029,-0.122,-10.986,72.571
0.969,-0.033,-0.012,1.221,-14.709,69.397
0.979,-0.037,0.013,2.930,-16.296,64.819
0.987,-0.016,0.025,3.479,-15.198,61.890
0.992,0.003,0.020,4.150,-12.451,59.265
0.993,0.017,0.010,4.578,-10.742,56.274
0.990,0.023,0.008,5.127,-10.376,52.307
0.994,0.042,0.003,7.324,-11.902,48.218
0.998,0.052,0.013,7.629,-14.954,45.898
0.996,0.052,0.037,3.662,-17.822,41.321
1.000,0.057,0.055,0.549,-18.677,33.386
0.997,0.050,0.072,0.977,-18.372,25.391
1.003,0.027,0.083,1.709,-17.334,19.226
1.005,0.010,0.097,-0.549,-15.320,14.954
1.002,-0.009,0.112,-2.563,-11.658,12.512
1.003,-0.036,0.108,-1.709,-7.141,11.169
1.005,-0.054,0.094,-0.305,-3.235,10.864
1.006,-0.055,0.078,0.854,-1.099,12.085
1.005,-0.045,0.061,3.174,-0.732,13.794
1.004,-0.028,0.052,5.493,-1.099,14.893
1.002,-0.013,0.056,5.981,-2.747,15.198
1.001,-0.007,0.072,5.493,-4.700,14.954
1.000,-0.004,0.082,4.700,-5.249,14.099
1.006,0.000,0.079,4.822,-4.272,13.428
1.001,-0.000,0.076,6.775,-3.418,12.573
0.995,0.019,0.072,6.042,-2.380,13.062
0.996,0.040,0.067,5.859,-2.197,13.611
0.990,0.048,0.067,7.812,-2.136,12.390
1.001,0.048,0.059,8.179,-2.197,10.132
1.003,0.035,0.068,6.592,-2.930,6.592
0.995,0.019,0.071,3.418,-3.113,2.869
1.001,-0.004,0.072,1.221,-1.709,0.488
0.994,-0.029,0.079,0.610,-0.854,-0.305
0.995,-0.035,0.084,1.587,-0.488,1.221
0.998,-0.036,0.087,3.723,-0.427,3.418
0.987,-0.033,0.078,5.127,-0.122,4.761
1.001,-0.036,0.065,6.104,0.183,6.470
0.993,-0.029,0.061,6.714,0.366,8.850
0.989,-0.006,0.052,6.470,0.000,11.353
0.997,0.006,0.048,8.484,-1.282,12.695
0.989,0.010,0.054,11.230,-3.540,12.878
0.996,0.010,0.061,10.925,-5.188,12.878
0.997,0.011,0.076,9.399,-6.714,12.695
0.996,0.015,0.089,7.446,-7.141,12.573
0.993,0.023,0.094,6.714,-5.554,12.634
0.994,0.022,0.090,8.240,-3.906,12.207
1.001,0.014,0.088,10.071,-3.418,11.047
0.991,0.003,0.088,10.315,-3.540,10.254
0.995,-0.006,0.087,11.353,-3.235,10.193
0.994,-0.010,0.086,14.587,-3.479,11.780
0.991,0.003,0.090,14.099,-4.700,15.503
1.004,0.016,0.092,10.803,-5.371,16.296
0.998,0.025,0.104,8.301,-5.737,15.381

0.767,1.213,0.298,57.739,21.545,-18.127
0.700,1.459,0.310,64.331,33.630,-85.205
0.635,1.504,0.253,68.359,48.950,-175.842
0.476,1.296,0.188,16.418,60.181,-278.320
0.279,0.851,0.157,-51.392,62.012,-366.760
0.186,0.443,0.107,-62.805,52.429,-412.231
0.153,0.220,0.067,-45.227,39.429,-423.340
