aX,aY,aZ,gX,gY,gZ
0.527,0.284,2.392,92.834,269.714,6.042
0.327,0.207,2.163,100.281,407.410,3.723
0.196,0.168,1.750,108.887,542.908,1.648
0.231,0.133,1.196,125.854,645.569,4.700
0.260,0.097,0.610,135.132,681.946,13.611
0.360,0.082,0.192,107.239,661.377,24.109
0.502,0.042,-0.056,58.105,607.544,30.945
0.479,-0.050,-0.138,12.390,543.213,35.461
0.484,-0.116,-0.128,-19.775,493.286,42.542
0.546,-0.174,-0.159,-36.377,454.651,54.932
0.454,-0.141,-0.231,-51.208,434.998,70.190
0.312,-0.035,-0.393,-51.453,431.763,81.482
0.237,0.086,-0.671,-31.128,434.326,85.571
0.195,0.216,-0.959,-13.916,423.706,80.811
0.134,0.287,-1.172,-3.174,392.822,65.735
0.112,0.317,-1.324,1.343,343.689,46.082
0.111,0.297,-1.406,0.671,283.142,24.292
0.128,0.218,-1.407,-3.662,219.482,4.028
0.176,0.114,-1.353,-11.047,155.762,-9.827
0.210,-0.001,-1.273,-17.517,103.333,-18.188
0.257,-0.096,-1.217,-21.606,63.477,-18.982
0.294,-0.138,-1.194,-23.865,32.654,-11.841
0.306,-0.138,-1.203,-24.231,6.836,-1.709
0.310,-0.103,-1.237,-26.428,-16.541,8.301
0.328,-0.062,-1.260,-31.311,-43.884,17.700
0.349,-0.025,-1.234,-37.537,-77.332,24.231
0.372,0.023,-1.165,-41.016,-112.061,27.832
0.380,0.082,-1.086,-38.391,-143.616,28.748
0.392,0.139,-1.014,-32.654,-169.556,26.306
0.418,0.176,-0.951,-23.865,-191.101,18.433
0.446,0.194,-0.893,-11.292,-210.327,6.348
0.464,0.205,-0.827,3.296,-229.919,-7.629
0.486,0.211,-0.751,23.560,-249.390,-24.414
0.507,0.205,-0.668,47.852,-269.531,-42.053
0.526,0.186,-0.585,66.772,-290.405,-58.655
0.562,0.141,-0.501,74.036,-309.814,-73.181
0.614,0.047,-0.415,71.716,-328.613,-84.839
0.643,-0.075,-0.309,59.998,-348.022,-90.576
0.666,-0.182,-0.173,37.903,-365.295,-86.792
0.672,-0.239,-0.013,13.977,-378.723,-71.777
0.673,-0.233,0.145,-1.282,-385.925,-49.255
0.702,-0.218,0.279,-8.362,-387.024,-27.466
0.760,-0.196,0.412,-16.846,-383.301,-9.460
0.792,-0.163,0.544,-27.527,-376.587,5.981
0.796,-0.116,0.669,-35.889,-366.394,19.165
0.798,-0.049,0.777,-40.955,-348.877,30.273
0.788,0.029,0.865,-40.955,-325.623,38.757
0.792,0.122,0.926,-36.865,-299.683,44.495
0.790,0.206,0.964,-30.823,-273.682,45.837
0.779,0.268,0.995,-25.940,-246.887,40.894
0.780,0.308,1.015,-24.597,-218.689,32.227
0.806,0.324,1.029,-24.841,-191.040,21.301
0.817,0.311,1.037,-24.292,-163.757,7.080
0.794,0.259,1.035,-24.353,-138.062,-7.019
0.775,0.203,1.028,-27.649,-115.784,-16.541
0.770,0.150,1.013,-30.029,-95.581,-20.386
0.771,0.096,0.990,-26.184,-77.209,-20.935
0.769,0.051,0.958,-21.606,-60.974,-18.494
0.763,0.034,0.930,-20.264,-46.692,-13.611
0.756,0.047,0.901,-18.372,-35.095,-7.446
0.749,0.069,0.864,-12.085,-26.550,-2.747
0.741,0.094,0.832,-6.226,-18.677,-0.916
0.737,0.120,0.802,-3.052,-11.719,-0.610
0.736,0.134,0.770,-1.038,-6.165,-1.831
0.739,0.116,0.737,-0.305,-3.357,-4.944
0.726,0.106,0.714,-3.174,-3.174,-7.690
0.721,0.106,0.703,-6.897,-4.028,-7.874
0.723,0.102,0.695,-5.676,-5.249,-7.141
0.734,0.089,0.698,-2.686,-6.775,-7.385
0.742,0.060,0.700,-1.221,-6.714,-8.057
0.739,0.035,0.705,-3.296,-4.272,-7.751
0.739,0.022,0.708,-7.141,-1.099,-5.188
0.736,0.019,0.698,-6.836,2.136,-2.197
0.733,0.024,0.677,-3.418,5.371,0.305
0.725,0.046,0.653,-1.587,7.874,3.540
0.722,0.069,0.629,0.488,8.972,5.493
0.728,0.074,0.611,2.563,7.629,5.676
0.727,0.075,0.615,0.671,4.639,4.944
0.728,0.080,0.635,-3.052,0.793,4.639
0.733,0.069,0.661,-3.296,-2.075,4.395
0.727,0.079,0.687,-4.578,-2.502,5.127
0.726,0.094,0.701,-3.906,-1.404,6.042
0.729,0.095,0.697,-0.549,0.244,5.310
0.727,0.098,0.693,0.061,2.014,4.822
0.724,0.108,0.686,-1.038,3.662,4.395
0.721,0.106,0.679,0.793,4.028,3.113
0.723,0.112,0.676,1.831,3.479,1.770
0.719,0.103,0.677,2.808,2.502,0.549
0.724,0.097,0.671,2.258,2.747,-0.427
0.719,0.094,0.670,0.244,4.028,-0.793
0.721,0.094,0.666,0.183,5.310,-0.793
0.723,0.090,0.660,1.953,5.920,-0.793
0.724,0.088,0.649,2.441,6.409,-0.793
0.728,0.079,0.641,1.038,6.653,-0.671
0.727,0.075,0.639,-1.709,6.042,-0.671
0.727,0.075,0.641,-3.296,4.517,-0.183
0.725,0.076,0.641,-2.869,3.357,0.793
0.726,0.087,0.645,-2.258,2.380,1.648
0.728,0.092,0.650,-1.526,1.343,1.831
0.728,0.095,0.660,-1.282,0.671,1.038
0.727,0.088,0.672,-0.732,0.610,0.061
0.727,0.087,0.678,-0.061,1.282,-0.061
0.726,0.087,0.673,1.892,2.686,-0.244
0.727,0.085,0.661,4.333,3.906,-0.488
0.727,0.087,0.649,4.883,4.944,-0.366
0.727,0.091,0.638,3.784,5.188,0.000
0.730,0.087,0.632,2.808,4.272,-0.427
0.726,0.090,0.638,0.122,2.747,-0.427
0.726,0.093,0.650,-0.732,0.854,-0.427
0.728,0.088,0.656,0.671,-0.061,-0.671
0.730,0.084,0.657,0.977,-0.061,-0.916
0.731,0.072,0.660,0.183,0.244,-1.160
0.734,0.068,0.661,-0.427,0.488,-0.793
0.735,0.066,0.659,0.366,0.732,-0.244
0.732,0.070,0.663,0.793,1.038,1.282

0.833,0.248,1.447,14.587,-2.136,2.075
0.896,0.247,1.778,32.654,-8.728,3.601
0.850,0.219,2.144,40.039,8.240,1.404
0.727,0.181,2.490,31.067,65.369,-1.648
0.537,0.130,2.735,33.447,169.617,1.587
0.473,-0.029,2.730,60.608,307.007,6.226
0.386,-0.210,2.587,70.313,443.420,16.541
0.097,-0.314,2.370,50.537,571.533,35.950
-0.133,-0.235,2.004,43.213,696.289,63.965
-0.257,-0.195,1.495,73.975,794.250,91.492
-0.457,-0.166,0.884,98.877,864.807,113.708
-0.690,0.028,0.227,85.693,907.776,135.681
-0.798,0.323,-0.423,82.397,918.701,154.541
-0.883,0.603,-1.083,100.464,890.259,165.100
-0.890,0.853,-1.705,108.337,820.801,161.682
-0.815,0.984,-2.146,84.595,706.543,135.254
-0.635,0.972,-2.332,45.410,555.298,85.876
-0.505,0.694,-2.258,4.578,393.799,23.926
-0.381,0.310,-2.024,-51.147,245.422,-20.935
-0.253,-0.013,-1.743,-97.351,123.291,-38.208
-0.185,-0.198,-1.497,-105.164,37.842,-33.691
-0.151,-0.233,-1.351,-81.421,-9.888,-16.907
-0.065,-0.155,-1.309,-49.561,-33.752,0.732
-0.019,-0.060,-1.315,-30.151,-49.805,11.414
0.001,0.036,-1.309,-24.841,-71.533,17.151
0.018,0.114,-1.286,-23.193,-98.206,19.043
0.068,0.171,-1.251,-23.743,-125.854,17.578
0.128,0.204,-1.199,-26.062,-152.649,12.695
0.182,0.212,-1.145,-28.198,-176.880,5.615
0.229,0.212,-1.089,-29.968,-198.853,-0.977
0.280,0.213,-1.036,-27.527,-218.750,-7.690
0.346,0.204,-0.991,-18.005,-237.610,-15.625
0.388,0.214,-0.942,-5.859,-257.690,-23.804
0.406,0.250,-0.876,7.874,-279.358,-33.875
0.415,0.285,-0.804,28.076,-302.307,-47.180
0.435,0.296,-0.723,49.438,-327.698,-64.331
0.457,0.265,-0.616,63.416,-356.812,-84.106
0.445,0.195,-0.461,66.101,-387.207,-102.722
0.462,0.099,-0.294,61.035,-414.307,-118.164
0.484,-0.008,-0.105,53.101,-437.195,-126.038
0.526,-0.111,0.086,41.809,-454.346,-124.756
0.589,-0.205,0.274,25.024,-464.294,-113.403
0.633,-0.262,0.454,-0.549,-464.539,-92.712
0.669,-0.257,0.627,-31.738,-451.843,-67.261
0.681,-0.192,0.782,-54.626,-427.124,-40.405
0.712,-0.103,0.906,-58.533,-395.020,-15.747
0.760,-0.021,0.992,-49.133,-360.291,0.549
0.789,0.049,1.048,-42.114,-324.707,9.277
0.815,0.103,1.096,-44.800,-289.673,10.925
0.827,0.135,1.135,-51.086,-255.920,5.737
0.833,0.140,1.161,-53.711,-223.511,-1.343
0.823,0.124,1.177,-53.345,-191.833,-8.057
0.811,0.113,1.186,-49.622,-159.241,-13.245
0.799,0.105,1.174,-37.964,-127.808,-15.381
0.795,0.093,1.140,-22.156,-97.534,-15.137
0.789,0.086,1.093,-9.277,-67.139,-14.404
0.790,0.075,1.022,-1.648,-40.222,-13.428
0.786,0.059,0.942,3.784,-19.897,-13.062
0.785,0.043,0.867,5.798,-6.653,-13.000
0.778,0.028,0.812,4.395,-1.038,-13.062
0.779,0.009,0.778,2.258,-0.183,-12.939
0.772,-0.010,0.762,0.549,-1.038,-11.902
0.776,-0.015,0.747,-0.671,-1.282,-10.071
0.774,-0.014,0.733,-1.465,0.000,-7.751
0.778,-0.009,0.716,-1.465,2.380,-5.005
0.774,0.000,0.706,-1.404,5.127,-3.357
0.779,0.003,0.695,-1.709,6.470,-2.258
0.778,-0.001,0.683,-2.136,7.629,-2.136
0.778,-0.008,0.668,-3.723,9.521,-2.380
0.777,-0.008,0.653,-6.348,12.085,-2.136
0.779,-0.012,0.635,-5.981,13.916,-2.014
0.775,-0.024,0.620,-3.540,15.076,-2.319
0.765,-0.029,0.602,-2.441,15.625,-1.831
0.779,-0.026,0.584,-2.441,14.954,-1.221
0.779,-0.027,0.576,-1.465,12.939,-1.038
0.778,-0.020,0.574,-1.038,10.315,-0.732
0.774,-0.011,0.574,0.793,7.263,-0.549
0.784,-0.011,0.574,3.906,4.456,-0.183
0.785,-0.010,0.582,4.700,1.892,0.305
0.780,0.003,0.597,1.831,0.549,0.854
0.784,0.005,0.609,1.709,-0.549,0.549
0.791,-0.001,0.616,3.052,-0.916,-0.305
0.786,-0.000,0.628,1.343,-0.671,-0.427
0.779,0.003,0.633,-0.122,0.061,0.366
0.784,0.006,0.632,0.488,1.221,1.038
0.774,0.012,0.629,0.793,2.441,1.709
0.781,0.020,0.620,0.793,3.845,1.892
0.781,0.020,0.614,0.854,5.127,1.953
0.774,0.032,0.612,-0.916,6.226,2.197
0.770,0.038,0.606,-1.343,6.470,2.014
0.767,0.043,0.604,-1.282,6.348,1.587
0.770,0.046,0.602,-1.526,5.615,0.671
0.774,0.036,0.602,-1.892,4.333,-0.427
0.771,0.027,0.604,-3.174,4.150,-1.160
0.771,0.024,0.607,-4.700,3.906,-1.282
0.773,0.015,0.603,-3.235,3.784,-1.343
0.775,0.010,0.598,-2.075,4.150,-1.282
0.782,0.008,0.591,-1.892,4.028,-1.221
0.785,0.005,0.588,-1.770,3.662,-1.221
0.781,0.008,0.588,-2.136,3.113,-1.099
0.782,0.011,0.588,-1.587,2.747,-1.038
0.782,0.008,0.590,0.000,1.892,-1.099
0.781,0.004,0.592,1.099,1.099,-1.404
0.787,-0.003,0.589,1.526,0.793,-1.587
0.786,-0.008,0.589,0.366,1.221,-1.587
0.781,-0.001,0.592,-1.709,1.221,-1.282
0.782,-0.002,0.597,-0.610,0.671,-1.038
0.786,-0.008,0.599,1.343,0.000,-0.854
0.786,-0.011,0.606,0.427,-0.122,-0.549
0.783,-0.004,0.612,-1.465,-0.061,0.244
0.783,-0.005,0.609,-0.854,0.427,0.916
0.784,0.002,0.611,-0.549,1.282,1.770
0.783,0.007,0.615,-0.305,1.099,2.014
0.782,0.007,0.620,-0.122,0.854,2.014
0.778,0.014,0.625,-1.343,1.343,1.831
