aX,aY,aZ,gX,gY,gZ
0.539,0.306,1.179,-3.174,75.317,3.479
0.525,0.308,1.072,-4.456,98.572,-1.038
0.525,0.275,0.953,-2.625,118.713,-7.690
0.525,0.241,0.868,-0.671,130.432,-14.038
0.544,0.191,0.831,4.395,130.554,-17.334
0.582,0.170,0.846,8.057,123.901,-17.090
0.610,0.157,0.897,14.221,117.554,-15.564
0.622,0.131,0.943,23.315,117.004,-14.709
0.619,0.124,0.967,28.198,125.610,-14.160
0.627,0.132,0.954,30.396,139.771,-13.062
0.639,0.159,0.925,33.508,156.433,-11.841
0.674,0.126,0.884,38.025,172.852,-11.963
0.657,0.072,0.811,40.527,191.101,-14.648
0.659,0.058,0.729,32.532,207.764,-13.489
0.661,0.043,0.622,32.471,220.154,-10.681
0.690,0.049,0.528,36.377,227.295,-7.141
0.710,0.069,0.448,42.664,225.830,-2.686
0.728,0.089,0.392,48.523,216.125,0.549
0.740,0.118,0.356,47.180,204.529,3.052
0.763,0.131,0.327,44.006,192.932,3.174
0.794,0.125,0.310,39.795,181.458,2.075
0.823,0.120,0.321,32.898,170.654,0.427
0.827,0.088,0.329,30.273,162.109,-1.282
0.806,0.080,0.338,25.879,159.241,-0.977
0.823,0.090,0.317,21.240,162.292,0.610

0.444,0.219,-1.073,15.076,-158.325,-47.607
0.301,0.183,-1.148,16.907,-224.731,-59.387
0.233,0.106,-1.113,16.541,-301.208,-70.374
0.188,-0.079,-0.902,8.972,-391.907,-78.064
0.165,-0.293,-0.522,-22.827,-487.366,-77.942
0.139,-0.464,-0.001,-64.148,-572.388,-64.392
0.071,-0.525,0.535,-97.168,-630.798,-35.217
0.055,-0.438,1.043,-125.549,-649.231,6.165
0.114,-0.228,1.467,-138.123,-627.380,46.936
0.206,0.011,1.820,-126.709,-573.792,73.059
0.354,0.170,2.068,-100.708,-500.916,78.552
0.399,0.283,2.278,-77.576,-411.682,72.266
0.462,0.387,2.376,-64.575,-311.157,61.096
0.474,0.458,2.335,-49.683,-203.430,45.532
0.494,0.434,2.139,-23.437,-100.342,27.893
0.505,0.331,1.857,-2.380,-14.526,9.521
0.481,0.216,1.571,5.798,42.419,-3.784
0.483,0.148,1.336,10.315,73.914,-7.324
0.505,0.111,1.180,19.592,83.313,-3.235
0.542,0.147,1.127,20.447,79.956,4.822
0.570,0.207,1.149,15.991,72.021,12.024
0.542,0.263,1.203,7.996,72.205,12.695
0.573,0.300,1.218,0.854,85.449,8.057
0.592,0.272,1.198,5.249,106.445,0.610
0.613,0.235,1.146,12.817,129.211,-5.981
0.611,0.188,1.093,18.860,154.053,-10.986
0.596,0.156,1.022,27.771,178.528,-13.245
0.618,0.125,0.937,40.710,200.562,-11.780
0.609,0.115,0.860,48.767,216.797,-8.057
0.631,0.115,0.774,52.673,230.103,-6.531
0.668,0.078,0.675,56.274,236.328,-7.446
0.693,0.043,0.590,50.720,236.023,-9.399
0.713,0.011,0.512,42.725,230.469,-9.888
0.745,-0.014,0.468,38.696,221.252,-6.775
0.757,-0.048,0.430,37.048,209.717,-2.258
0.786,-0.051,0.423,30.823,197.693,2.686
0.812,-0.070,0.406,25.391,185.303,8.789
0.802,-0.062,0.371,21.057,175.964,13.794
0.792,-0.020,0.331,13.977,170.715,18.616
0.782,0.021,0.260,16.113,167.480,21.240
0.800,0.060,0.184,21.729,162.109,22.522
0.801,0.100,0.123,22.949,152.832,21.606
0.818,0.109,0.064,25.024,138.794,17.212
0.849,0.116,0.035,21.790,119.690,12.085
0.859,0.093,0.047,17.029,96.558,8.179
0.852,0.065,0.077,13.489,76.050,5.005
0.854,0.063,0.124,8.362,61.218,4.822
0.906,0.059,0.183,9.094,49.255,6.531
0.909,0.036,0.241,11.719,41.077,7.874
0.904,0.045,0.282,5.371,40.710,9.338

0.339,0.021,1.759,-94.604,-503.906,53.467
0.369,0.138,2.039,-81.543,-461.365,54.565
0.409,0.203,2.293,-67.383,-396.484,44.189
0.409,0.222,2.409,-55.481,-306.763,30.090
0.392,0.228,2.381,-50.354,-202.087,20.142
0.368,0.220,2.191,-39.856,-93.323,13.123
0.400,0.186,1.857,-18.494,0.427,8.606
0.424,0.118,1.528,2.258,64.148,5.554
0.422,0.100,1.278,7.263,92.773,5.981
0.460,0.133,1.125,6.409,96.130,11.230
0.484,0.163,1.068,6.409,84.534,15.503
0.494,0.225,1.100,-3.357,71.899,17.029
0.462,0.268,1.144,-13.794,69.275,13.855
0.491,0.290,1.140,-14.771,80.811,6.165
0.523,0.236,1.095,-4.028,100.464,-3.357
0.544,0.171,1.040,5.249,119.873,-11.658
0.526,0.120,1.000,10.193,137.695,-15.442
0.571,0.082,0.956,19.104,153.687,-14.221
0.617,0.071,0.931,31.799,164.673,-7.812
0.606,0.058,0.910,41.016,173.340,-2.502
0.597,0.069,0.861,41.077,183.655,-1.282
0.585,0.054,0.793,39.246,193.848,-1.343
0.644,0.055,0.728,33.813,199.890,-1.831
0.693,0.046,0.698,30.273,199.036,-2.380
0.700,0.036,0.701,27.649,194.885,-2.930
0.697,0.029,0.702,26.001,193.909,-2.625
0.687,0.010,0.654,27.527,197.998,-1.343
0.692,0.013,0.566,25.513,206.177,0.244
0.693,0.017,0.458,23.865,211.731,2.319
0.719,0.019,0.344,24.658,210.999,3.784
0.734,0.013,0.252,24.658,202.148,4.700
0.760,0.018,0.198,22.766,184.998,6.104
0.806,0.028,0.174,19.409,161.316,8.972
0.832,0.037,0.191,15.930,136.353,10.986
0.842,0.057,0.258,13.550,114.258,12.329
0.852,0.056,0.327,15.320,99.365,14.282
0.834,0.058,0.351,15.137,96.008,15.320
0.829,0.096,0.329,7.263,100.891,15.930
0.838,0.108,0.270,5.127,106.140,14.893
0.848,0.117,0.216,5.493,106.445,12.451
0.884,0.112,0.174,7.019,99.365,9.094
0.877,0.083,0.177,7.874,87.769,5.066
0.896,0.079,0.191,5.920,76.843,2.808
0.915,0.071,0.220,5.920,67.383,2.502
0.928,0.050,0.239,6.348,61.096,1.953
0.938,0.043,0.241,1.343,58.899,2.014
0.930,0.031,0.227,-1.465,58.899,2.075
0.931,0.032,0.194,-1.343,58.167,3.174
0.930,0.030,0.151,-0.549,55.603,4.456
0.935,0.054,0.121,-0.854,50.964,5.249

0.333,-0.405,1.580,-98.083,-508.301,41.626
0.369,-0.153,1.927,-109.070,-477.478,80.017
0.377,0.169,2.228,-115.112,-414.307,100.830
0.394,0.396,2.356,-88.318,-319.763,98.511
0.447,0.506,2.326,-54.749,-213.806,79.895
0.462,0.541,2.176,-37.781,-113.037,55.115
0.465,0.465,1.934,-25.940,-27.100,28.137
0.460,0.325,1.642,-12.634,37.170,5.737
0.465,0.252,1.404,-3.723,80.566,-3.479
0.493,0.205,1.218,7.629,97.961,-3.479
0.518,0.187,1.127,14.648,96.741,-1.038
0.537,0.210,1.138,5.005,92.041,0.671
0.551,0.207,1.180,-2.808,94.177,0.061
0.559,0.204,1.219,-5.066,108.215,-2.258
0.547,0.186,1.214,-1.038,134.521,-5.310
0.596,0.167,1.156,13.855,167.480,-7.263
0.587,0.127,1.090,30.457,197.327,-6.836
0.567,0.125,1.017,41.443,224.792,-7.141
0.591,0.099,0.895,53.589,249.084,-5.920
0.619,0.115,0.763,59.937,265.381,-2.197
0.631,0.137,0.670,60.547,267.761,2.258
0.661,0.107,0.578,65.247,263.794,1.221
0.699,0.096,0.508,58.411,255.310,-0.122
0.717,0.088,0.444,46.143,243.896,0.000
0.720,0.061,0.369,38.208,232.422,-0.854
0.725,0.039,0.275,30.212,222.107,-1.404
0.757,0.025,0.180,22.644,209.290,-0.854
0.794,0.008,0.112,18.311,190.552,1.038
0.809,0.010,0.093,13.306,167.664,4.211
0.822,0.012,0.104,13.123,143.860,7.629
0.832,0.024,0.141,14.465,123.108,10.925
0.854,0.036,0.180,13.306,106.750,14.038
0.875,0.083,0.241,11.292,95.154,15.747
0.882,0.090,0.293,12.390,88.684,15.625
0.886,0.107,0.318,11.963,90.759,12.756
0.868,0.114,0.302,8.423,98.022,10.254
0.870,0.121,0.243,7.141,105.408,7.568
0.876,0.114,0.170,5.493,108.032,5.554
0.885,0.088,0.116,3.479,103.821,3.357
0.889,0.076,0.087,0.305,95.459,2.563
0.911,0.072,0.072,0.610,83.679,2.991
0.923,0.063,0.087,1.953,70.618,3.784
0.928,0.063,0.112,1.343,59.143,4.822
0.930,0.070,0.134,-1.160,52.734,4.578
0.936,0.064,0.134,-0.061,50.476,3.601
