aX,aY,aZ,gX,gY,gZ
0.339,1.670,0.391,103.943,-95.154,247.253
0.399,1.588,0.515,81.726,-86.914,178.284
0.439,1.447,0.566,52.490,-70.923,123.718
0.464,1.389,0.589,26.855,-57.007,93.872
0.464,1.395,0.613,15.564,-46.509,76.538
0.460,1.390,0.625,14.465,-33.752,58.716
0.411,1.421,0.621,16.479,-19.653,43.884
0.429,1.530,0.580,35.522,-6.409,30.762
0.404,1.540,0.554,54.382,2.563,8.850
0.425,1.587,0.550,50.476,7.812,-15.747
0.430,1.551,0.553,39.185,12.817,-48.645
0.414,1.410,0.534,29.053,18.982,-85.388
0.405,1.277,0.508,18.311,24.902,-111.511
0.434,1.169,0.472,15.625,28.931,-127.014
0.462,1.068,0.441,16.235,29.358,-136.047
0.483,0.983,0.418,9.521,27.954,-141.479
0.496,0.895,0.396,1.099,26.550,-146.484
0.511,0.827,0.374,-4.761,26.245,-150.513
0.539,0.765,0.367,-8.789,26.123,-152.771
0.570,0.700,0.352,-11.169,26.672,-155.151
0.595,0.635,0.333,-18.127,27.771,-157.104
0.599,0.583,0.303,-26.978,28.809,-158.203
0.604,0.546,0.258,-30.090,31.067,-158.569
0.621,0.516,0.205,-25.940,32.532,-158.752
0.627,0.487,0.168,-20.264,30.334,-158.875
0.645,0.472,0.148,-18.188,23.560,-159.180
0.683,0.418,0.155,-20.508,13.550,-159.363
0.720,0.365,0.177,-22.278,3.601,-163.452

1.090,-0.661,0.364,-21.179,32.654,31.372
1.110,-0.789,0.378,-37.415,41.565,35.889
1.124,-0.963,0.371,-58.594,53.467,51.758
1.075,-1.048,0.373,-93.323,67.810,81.787
1.001,-1.262,0.292,-113.831,84.961,108.337
0.834,-1.351,0.152,-127.869,100.952,143.799
0.632,-1.415,0.025,-152.893,108.704,225.159
0.437,-1.283,-0.087,-155.151,110.596,312.073
0.195,-0.968,-0.224,-104.553,104.797,399.902
-0.002,-0.474,-0.387,-49.683,95.215,468.018
-0.155,0.061,-0.532,-18.127,75.684,511.475
-0.209,0.552,-0.632,-0.977,41.504,533.325
-0.229,0.865,-0.638,10.864,-4.211,539.429
-0.210,1.120,-0.528,4.944,-58.411,536.438
-0.157,1.461,-0.299,1.953,-109.619,509.949
0.103,1.723,-0.059,29.358,-145.020,441.406
0.068,1.783,0.285,52.734,-167.786,366.150
0.277,1.906,0.573,41.687,-169.250,297.424
0.428,1.929,0.823,37.231,-149.109,223.511
0.470,1.864,1.027,34.668,-116.455,150.879
0.508,1.790,1.113,29.846,-68.970,93.384
0.524,1.723,1.081,26.672,-12.573,46.387
0.521,1.597,0.932,24.841,42.847,5.493
0.450,1.485,0.713,25.574,88.379,-26.550
0.432,1.438,0.470,33.325,116.699,-49.683
0.436,1.399,0.256,44.983,125.549,-67.627
0.434,1.358,0.126,44.434,112.976,-82.886
0.435,1.306,0.088,35.400,85.144,-96.130
0.444,1.260,0.127,25.330,53.894,-107.849
0.469,1.168,0.196,17.639,29.297,-121.155
0.479,1.063,0.277,11.047,14.709,-131.592
0.495,0.967,0.334,7.019,10.620,-138.428
0.509,0.884,0.358,2.625,13.489,-142.151
0.521,0.835,0.350,-5.798,19.958,-143.616
0.520,0.809,0.313,-11.963,28.137,-144.592
0.536,0.810,0.268,-12.268,35.156,-147.034
0.544,0.822,0.228,-9.583,39.734,-151.733
0.546,0.812,0.183,-4.639,43.274,-159.912
0.551,0.771,0.133,-1.526,45.715,-171.509
0.567,0.709,0.084,-0.122,45.593,-183.960
0.568,0.644,0.046,1.953,43.335,-194.336
0.592,0.566,0.018,4.333,39.246,-202.332
0.622,0.464,0.001,5.188,32.776,-208.923
0.643,0.352,-0.005,2.625,25.085,-213.623
0.685,0.245,-0.011,0.610,16.724,-215.393
0.714,0.158,0.002,1.648,7.202,-212.402
0.749,0.097,0.031,4.456,-2.563,-204.224
0.784,0.072,0.078,8.362,-10.986,-193.115
0.811,0.089,0.134,11.963,-16.113,-179.749
0.816,0.118,0.180,16.907,-15.808,-169.067

1.065,-0.568,0.252,2.197,22.278,23.499
1.100,-0.681,0.274,1.587,26.917,36.682
1.134,-0.812,0.305,4.517,33.752,44.800
1.160,-1.051,0.308,4.883,44.739,46.997
1.082,-1.279,0.288,-11.719,58.960,66.040
1.002,-1.470,0.219,-41.748,76.233,110.596
0.835,-1.598,0.095,-73.608,92.590,172.668
0.639,-1.553,-0.026,-103.455,100.342,249.084
0.446,-1.384,-0.164,-96.619,96.313,334.778
0.225,-0.999,-0.282,-58.594,80.933,414.795
0.042,-0.471,-0.350,-26.550,59.082,475.159
-0.091,0.012,-0.387,1.160,34.302,505.676
-0.172,0.400,-0.413,26.428,6.836,515.076
-0.192,0.704,-0.417,35.217,-23.254,514.526
-0.157,0.959,-0.354,31.250,-57.556,512.085
-0.058,1.290,-0.193,34.851,-92.102,493.591
0.012,1.550,0.028,64.148,-117.798,425.110
0.206,1.729,0.208,86.853,-128.845,358.948
0.244,1.784,0.423,65.613,-125.916,295.654
0.406,1.916,0.567,50.781,-111.816,235.718
0.510,1.913,0.655,46.997,-85.693,172.852
0.550,1.812,0.707,31.616,-58.838,109.680
0.568,1.621,0.716,12.146,-30.884,52.490
0.575,1.416,0.666,3.967,-1.770,9.827
0.555,1.277,0.567,10.071,24.963,-16.113
0.555,1.219,0.441,23.254,42.786,-30.762
0.558,1.209,0.353,29.297,46.692,-40.283
0.560,1.190,0.323,30.701,38.269,-49.683
0.552,1.170,0.346,27.771,24.841,-59.021
0.552,1.146,0.388,24.170,14.038,-68.420
0.551,1.115,0.425,21.667,10.376,-78.247
0.569,1.073,0.451,17.090,12.634,-87.708
0.569,1.026,0.460,9.338,20.020,-95.154
0.571,0.980,0.428,2.197,31.372,-101.929
0.578,0.937,0.360,-2.441,42.358,-109.131
0.579,0.884,0.287,-6.165,49.255,-116.455
0.583,0.829,0.218,-8.667,51.514,-124.023
0.598,0.758,0.156,-9.033,50.232,-131.775
0.615,0.663,0.112,-7.996,45.776,-139.099
0.633,0.592,0.095,-9.094,41.016,-142.822
0.644,0.603,0.104,-7.874,35.950,-140.503
0.663,0.633,0.109,-0.366,31.494,-137.329
0.673,0.644,0.098,2.502,30.273,-139.465
0.678,0.615,0.076,-0.305,30.701,-146.301
0.680,0.566,0.054,-2.197,28.809,-153.442
0.698,0.520,0.056,-6.653,23.499,-158.203
0.720,0.457,0.073,-8.606,16.418,-162.537
0.735,0.389,0.096,-7.935,11.597,-165.588
0.765,0.316,0.103,-7.202,9.888,-166.748
0.783,0.248,0.099,-5.066,9.583,-165.710

1.099,-0.574,0.186,-11.475,13.123,43.945
1.116,-0.701,0.193,-15.808,15.991,54.382
1.115,-0.845,0.201,-25.269,19.470,65.308
1.105,-1.017,0.213,-39.490,25.085,86.853
1.043,-1.173,0.205,-57.190,30.334,121.155
0.922,-1.271,0.166,-76.172,38.086,170.044
0.760,-1.265,0.102,-91.614,48.096,236.206
0.585,-1.111,0.005,-85.938,55.847,305.603
0.410,-0.817,-0.105,-55.542,56.519,371.338
0.243,-0.444,-0.184,-35.767,50.171,422.974
0.122,-0.075,-0.220,-30.945,40.588,453.735
0.047,0.219,-0.232,-18.982,29.480,465.820
-0.010,0.433,-0.245,0.183,21.118,463.196
-0.100,0.704,-0.272,14.893,11.719,457.581
-0.076,0.937,-0.309,31.311,-3.601,461.121
0.024,1.225,-0.283,41.931,-25.940,449.829
0.106,1.521,-0.203,60.608,-51.575,387.756
0.229,1.514,-0.132,66.345,-71.899,310.547
0.227,1.488,0.034,31.250,-86.609,251.831
0.333,1.326,0.144,18.188,-91.431,207.397
0.399,1.271,0.271,9.460,-92.102,180.847
0.423,1.275,0.370,2.258,-86.914,163.147
0.433,1.318,0.432,2.441,-75.256,145.081
0.422,1.377,0.479,5.127,-60.669,126.038
0.402,1.464,0.518,10.803,-47.668,106.506
0.395,1.559,0.560,18.311,-36.621,85.388
0.391,1.643,0.603,26.611,-26.611,61.829
0.387,1.709,0.632,31.494,-15.259,35.400
0.370,1.740,0.621,36.682,-0.610,6.165
0.369,1.720,0.561,37.598,15.442,-24.353
0.366,1.656,0.482,28.992,29.297,-55.664
0.356,1.544,0.402,22.217,37.537,-85.571
0.358,1.423,0.346,19.714,39.917,-109.436
0.375,1.318,0.328,17.578,36.926,-125.916
0.376,1.234,0.326,11.047,33.508,-137.451
0.397,1.124,0.310,4.578,33.875,-148.682
0.421,0.999,0.273,-1.038,36.255,-159.058
0.437,0.896,0.234,-8.240,37.659,-165.222
0.453,0.830,0.196,-11.780,36.865,-167.969
0.470,0.756,0.159,-8.972,33.508,-169.678
0.495,0.713,0.143,-10.742,29.053,-170.288
0.507,0.687,0.135,-15.442,26.855,-169.495
0.525,0.651,0.116,-13.794,26.917,-169.128
0.560,0.593,0.097,-9.460,28.442,-170.837
0.577,0.544,0.086,-7.019,28.137,-172.363
0.611,0.498,0.076,-3.662,25.574,-172.180
0.637,0.448,0.073,-0.488,22.034,-171.448
0.650,0.400,0.065,0.427,18.982,-168.701
0.688,0.365,0.047,1.709,17.944,-164.551
0.727,0.345,0.031,5.005,16.357,-159.302

1.143,-0.688,0.232,-69.031,17.334,51.453
1.160,-0.884,0.201,-93.872,23.987,64.453
1.132,-1.142,0.119,-125.671,32.166,86.182
1.079,-1.286,0.032,-168.274,42.358,126.648
0.920,-1.376,0.001,-200.867,51.453,190.308
0.762,-1.373,-0.032,-207.703,59.082,256.775
0.594,-1.380,-0.089,-164.551,61.401,327.576
0.379,-1.235,-0.152,-126.892,58.044,407.593
0.164,-0.889,-0.207,-117.615,57.434,471.558
-0.116,-0.505,-0.316,-95.642,56.580,516.052
-0.287,-0.056,-0.459,-71.533,53.528,549.805
-0.403,0.470,-0.562,-52.124,40.405,568.970
-0.485,0.958,-0.585,-9.399,15.076,570.251
-0.479,1.311,-0.481,36.743,-25.024,571.777
-0.469,1.927,-0.164,74.280,-76.172,548.523
-0.248,2.153,0.189,126.587,-118.408,489.746
-0.208,2.296,0.566,132.629,-135.620,430.542
-0.044,2.422,0.833,110.229,-115.784,357.666
0.108,2.405,0.913,98.999,-63.538,259.155
0.182,2.366,0.852,73.975,-2.747,149.536
0.124,2.038,0.657,40.161,56.519,39.124
0.078,1.569,0.403,11.658,100.220,-39.795
0.077,1.305,0.173,6.470,118.225,-67.749
0.102,1.223,0.005,24.902,110.046,-64.514
0.127,1.263,-0.059,40.466,82.275,-52.734
0.138,1.358,-0.019,36.011,46.692,-45.593
0.154,1.401,0.095,23.621,14.526,-48.401
0.161,1.365,0.231,15.259,-4.395,-59.143
0.171,1.329,0.334,8.606,-9.766,-70.007
0.187,1.309,0.387,3.967,-4.211,-78.735
0.214,1.261,0.385,2.563,8.118,-90.637
0.238,1.182,0.336,0.793,24.170,-105.286
0.260,1.111,0.270,-0.366,38.391,-117.859
0.282,1.057,0.194,2.747,48.279,-126.831
0.300,1.016,0.114,6.287,55.054,-134.277
0.335,0.983,0.040,7.568,58.960,-141.968
